#tail	head
AACS	AMPD2
AACS	BDH1
AACS	TSG101
AACS	ALDH1B1
AACS	OLAH
AACS	ALDH3B2
SF3B1	H3F3B
SF3B1	DHX8
SF3B1	LSM4
SF3B1	JUN
PTPN11	EPHA5
PTPN11	FRS3
PTPN11	IFNA7
PTPN11	IL37
PTPN11	CDK7
PTPN11	AKT3
PTPN11	ETS2
PTPN11	INPPL1
DNPEP	PLOD2
IGLV2-14	KITLG
IGLV2-14	AKT3
IGLV2-14	INPPL1
IGLV2-14	FGF20
BDH1	NNT
BDH1	ME2
ADRA2C	REPIN1
ADRA2C	GRK7
ADRA2C	JUN
ZNF830	GABPB2
ZNF830	RBX1
ZNF830	CDK7
APOA1	ITGB5
APOA1	CD40LG
TP53I3	AKR1D1
JAK1	PTPN23
JAK1	MTMR4
JAK1	INPPL1
JAK1	RAF1
JAK1	CD40LG
JAK1	IL10RB
JAK1	IFNGR1
JAK1	STAT6
DUSP22	UPP2
DUSP22	EPHA5
DUSP22	CDK7
AKR1D1	ME1
AKR1D1	ME2
AKR1D1	ADIPOQ
AKR1D1	ALDH1B1
ACLY	SP1
ACLY	SEPT7
ACLY	CUL2
ACLY	ALPL
ACLY	SGF29
ACLY	AGPAT1
ACLY	JUN
ACLY	OLAH
ACLY	GATA1
ACLY	ALDH3B1
TRAIP	UBE2C
TRAIP	AMPD2
TRAIP	RNF20
TRAIP	RAD21
TRAIP	TSG101
RAF1	AKT3
RAF1	ETS2
RAF1	ALOX15
RAF1	BIRC2
EPHA5	MTMR4
EPHA5	PTPN23
CUL2	UBE2C
CUL2	PSMD1
CUL2	GATA1
RAI14	SGF29
RAI14	RPA1
IFNA7	IFNGR1
IFNA7	IL10RB
PANK2	ALAS1
ALDH3B1	GPD1
ALDH3B1	SLC7A10
ALDH3B1	PPCDC
ALDH3B1	AGPAT1
ALDH3B1	ENTPD3
HTR5A	GRK2
SP1	MIEF2
SP1	CDK7
SP1	NMNAT2
SP1	SRD5A3
SP1	ADIPOQ
SP1	OLAH
SP1	PSMD1
SP1	SIVA1
SP1	CASR
SP1	MYO1C
SP1	NNT
SP1	PPCDC
SP1	MYL6B
SP1	SLC7A10
SP1	AGPAT1
SP1	SLC25A20
SP1	RBX1
SP1	FUS
SP1	GPD1
SP1	FRS3
NMNAT2	ALDH3B2
GATA1	GRM1
GATA1	GABPB2
GATA1	MYO1C
GATA1	SUPT16H
GATA1	HIST2H2AA3
ETNPPL	ENTPD3
RNF20	GABPB2
RNF20	GABPA
RNF20	SUPT16H
OLAH	REPIN1
OLAH	ALDH1B1
ME2	NNT
ME2	ME1
SLC25A6	JUN
AKT3	GRK2
AKT3	CASP9
AKT3	MAP3K7
AKT3	CDK7
AKT3	FRS3
AKT3	JUN
PPCDC	ALDH3B2
MYH6	HAND1
CD40LG	EDN1
CD40LG	GABPA
CD40LG	IFNGR1
CD40LG	JUN
CD40LG	IL10RB
CD40LG	EIF4E
CD40LG	DRD4
KPNA1	HIST2H2AA3
KPNA1	SGF29
H2BFS	MYO1C
H2BFS	DEK
H2BFS	RAD21
H2BFS	H3F3B
SLC38A5	ALAS1
SLC38A5	ATG9B
SLC38A5	SLC25A20
SLC38A5	SLC7A10
OXTR	ALAS1
HSD17B6	SRD5A3
DCX	REPIN1
FUS	LYAR
FUS	EGR1
TNFRSF11A	BIRC2
ADIPOQ	GRK2
ADIPOQ	DEK
ADIPOQ	NNT
ADIPOQ	JUN
SGF29	CAPRIN1
HIST2H2AA3	DEK
HIST2H2AA3	MYO1C
HIST2H2AA3	RAD21
DRD4	GRK2
DRD4	EDN1
DRD4	GNG7
DRD4	GRK7
DRD4	VEGFB
DRD4	KITLG
GRK7	STAT6
GNG7	GRK2
GNG7	GRM1
EDN1	JUN
EDN1	CACNA2D4
EDN1	EGR1
DHX8	JUN
DHX8	GABPA
DHX8	ETS2
ASH1L	HAND1
CXCR1	CASR
CXCR1	UBE2C
RIPK3	MYL6B
CREM	CDC34
CREM	ETS2
UPP2	INPPL1
UPP2	ENTPD3
REPIN1	P2RX5
REPIN1	GPD1
REPIN1	SEPT7
REPIN1	MTMR4
REPIN1	MYL6B
REPIN1	SRD5A3
SUPT16H	JUN
INPPL1	KITLG
INPPL1	AMPD2
LACTB	SEPT7
PPP3CA	GABPA
PPP3CA	EGR1
IFNGR1	IL10RB
IFNGR1	STAT6
INSL5	PCSK5
MYO1C	JUN
GRM1	VEGFB
GRM1	FGF20
TOMM22	GABPB2
TOMM22	GABPA
CYP27B1	ME1
CYP27B1	SRD5A3
CYP27B1	ALDH1B1
P2RX5	ITGB5
ENTPD3	ALDH1B1
ENTPD3	ALDH3B2
FRS3	FGF20
UBE2V1	KRT36
UBE2V1	KITLG
UBE2V1	RBX1
KITLG	IL10RB
CNOT11	AMPD2
CNOT11	EIF4E
PSMD1	JUN
PSMD1	SEM1
KRT36	ZNF414
RBX1	AMPD2
RBX1	UBE2D1
RBX1	CDC34
MAP3K7	AMPD2
MAP3K7	EGR1
MAP3K7	BIRC2
BIRC2	SEM1
STAT6	NPRL2
STAT6	EIF4E
STAT6	JUN
STAT6	IL10RB
AMPD2	GLUD2
GLUD2	PLOD2
ALAS1	ALDH1B1
ALAS1	ALDH3B2
ETS2	EGR1
ETS2	AGPAT1
ETS2	GPD1
GPANK1	GABPB2
GPANK1	GABPA
ALDH1B1	GPD1
MTMR4	ZNF414
UBE2D1	SIVA1
UBE2D1	UBE2C
UBE2D1	JUN
UBE2D1	SEM1
UBE2C	DUX4
UBE2C	JUN
ALDH3B2	GPD1
EGR1	JUN
EGR1	ZNF414
TSG101	CAPRIN1
JUN	AGPAT1
JUN	EIF4E
IL37	GSG1
GABPB2	TXN2
ME1	SRD5A3
ME1	GPD1
NNT	GPD1
RAD21	DEK
SEM1	RPA1
CAPRIN1	RPA1
LYAR	CDK7
RPA1	CDK7
