#tail	head
KRT8	BSG
KRT8	INS
KRT8	CUX1
KRT8	TNF
KRT8	TUBA1C
ATG2B	SALL2
ATG2B	POC1A
AR	E2F1
AR	IL2RA
AR	SKIL
AR	FCHSD2
AR	CRH
AR	AES
AR	SMAD4
AR	TGIF1
AR	ALDOA
AR	LEF1
AR	SOS2
M6PR	SH3GL1
M6PR	PON2
M6PR	INS
TUBB4A	TGIF1
TUBB4A	CCT7
TUBB4A	TNF
TUBB4A	TUBA1C
TUBB4A	LEF1
TNF	E2F1
TNF	IL2RA
TNF	INS
TNF	CRH
TNF	F8
TNF	PON2
TNF	ALDOA
E2F1	CDC25A
E2F1	LEF1
E2F1	KNTC1
ATG16L1	SMAD4
ATG16L1	CCT7
SH3GL1	PON2
SH3GL1	ALDOA
SH3GL1	SERPINB1
SEC22A	ELOVL4
SEC22A	F8
ALDOA	INS
ALDOA	COLEC10
ALDOA	CUX1
PON2	INS
FCHSD2	CUX1
FCHSD2	SH3BGR
FCHSD2	LEF1
FCHSD2	SRP72
CRH	CUX1
CRH	SERPINB1
CRH	LEF1
CRH	INS
CRH	TGIF1
CDC25A	LEF1
CDC25A	CUX1
CUX1	INS
HTN3	INS
LEF1	CGRRF1
LEF1	ELOVL4
LEF1	SKIL
LEF1	SALL2
LEF1	TGIF1
LEF1	SH3BGR
LEF1	AES
GPR152	SERF1B
GPR152	CGRRF1
POC1A	CCT7
POC1A	MAP7D1
TUBA1C	COLEC10
TUBA1C	CCT7
TUBA1C	MAP7D1
TUBA1C	BSG
SOS2	IL2RA
CCT7	INS
CCT7	COLEC10
SMAD4	DKK3
SMAD4	AES
SMAD4	TGIF1
DKK3	INS
DKK3	MAP7D1
BSG	VAC14
BSG	KNTC1
SERF1B	ELOVL4
SH3BGR	INS
SKIL	INS
SKIL	AES
SKIL	SRP72
SRP72	INS
INS	SALL2
INS	VAC14
