#tail	head
FOXA3	HIC2
SLC5A11	SLC5A2
SLC5A11	SLC6A20
SLC5A11	SLC12A1
H3F3B	FOXF2
H3F3B	SMARCA5
H3F3B	SIN3B
H3F3B	IPO4
WAS	UBE2I
MARCO	AKT1
MARCO	BDKRB2
MINOS1	HSPA9
AKT1	NPM1
AKT1	SP1
AKT1	CYLD
AKT1	KAT2B
AKT1	HSPA9
AKT1	JUN
AKT1	GNG2
PROP1	TLE1
GNG2	GIP
GNG2	SLC12A1
GNG2	BDKRB2
GNG2	ABI2
GNG2	HTR3E
CYLD	JUN
CYLD	HNRNPL
CYLD	NOG
CYLD	NPM1
CYLD	SP1
GIP	SEC11A
C6orf201	SRPK1
C6orf201	EIF3F
NTRK3	JUN
NTRK3	PTPN12
NTRK3	PTPN4
GFPT1	JUN
GFPT1	NOG
ABI2	SP1
GLS	NOG
AMFR	GET4
JUN	HNRNPL
JUN	ABCF1
JUN	C18orf25
JUN	MOV10
JUN	ZC3HAV1
JUN	SFR1
JUN	H2AFB1
JUN	RSL1D1
JUN	SP1
JUN	SLC5A2
JUN	PHF23
JUN	SLC38A3
PRR20D	MBNL3
PEPD	SP1
HNRNPL	HSPA9
HNRNPL	PTPN4
HNRNPL	TATDN1
HNRNPL	SP1
HNRNPL	CDK8
SLC38A3	SLC5A2
RSL1D1	NOG
MRFAP1L1	SFR1
PTPN12	BAG6
H2AFB1	SMARCA5
H2AFB1	SIN3B
KCNB2	FXYD3
NEDD8	HSPA9
SIN3B	SP1
SIN3B	SMARCA5
TLE1	NPM1
TLE1	FOXF2
SMARCA5	SP1
RAB7A	RPN2
RAB7A	HSPA9
TATDN1	NAE1
TATDN1	UBE2I
SLC12A1	KCNK18
NOG	MAP2K5
NOG	MOV10
NOG	HSPA9
NOG	LAMP1
NOG	C18orf25
SMARCAD1	SSRP1
SUMO1P1	UBE2I
RPS29	SEC11A
RPS29	NPM1
RPS29	RPN2
CHD1	NPM1
CHD1	SSRP1
CHD1	MOV10
FOXF2	PDRG1
PDRG1	KAT2B
SRPK1	NPM1
SRPK1	ABCF1
GET4	MOV10
NPM1	SP1
PHF23	KAT2B
SLC6A20	FXYD3
FXYD3	HTR3E
SP1	UBE2I
SP1	DAZAP1
SP1	HSPA9
RPN2	LAMP1
RPN2	SEC11A
MOV10	ZC3HAV1
SEC11A	LAMP1
LAMP1	ZC3HAV1
