#tail	head
CNRIP1	PRTFDC1
GRN	SERPING1
GRN	STAT5A
GRN	CFTR
GRN	DEFA1
GRN	CUL7
IGKV2D-30	C1S
IGKV2D-30	SERPING1
IGKV2D-30	IGHA2
IGKV2D-30	GNGT1
INPP4A	PHKA1
INPP4A	STON2
INPP4A	LDLR
INPP4A	CFTR
INPP4A	WNT5A
TNNI3	TPCN1
TNNI3	HTR3C
TNNI3	DES
TNNI3	CACNA1B
TNNI3	TRPV3
TAS1R1	GNGT1
TAS1R1	MYOD1
CACNA1B	DES
CACNA1B	PPP3CB
CACNA1B	GNGT1
FZD2	GNGT1
FZD2	LEP
FZD2	PPP3CB
FZD2	WNT5A
FZD2	WIF1
FZD2	HTR3C
TRPV3	PPP3CB
TRPV3	DES
TRPV3	MYOD1
IGHA2	IGKV2-28
LDLR	WNT5A
LDLR	DEFA1
LDLR	CFTR
LDLR	CASP3
TYR	CASP3
TYR	LEP
TYR	ABCB6
TYR	CYP2E1
TYR	CFTR
TYR	DCT
LEP	CFTR
LEP	CASP3
LEP	STAT5A
LEP	ABCB6
LEP	CYP2E1
LEP	C1S
LEP	MYOD1
WNT5A	WIF1
WNT5A	DEFA1
WNT5A	GNGT1
WNT5A	GATA1
WNT5A	STON2
WNT5A	PPP3CB
GLO1	CYP2E1
GLO1	CFTR
GLO1	CUL7
RIPK4	TUBB2B
RIPK4	EDEM3
DEFA1	PPP3CB
DEFA1	EDEM3
HTR3C	GNGT1
HTR3C	FXYD3
HTR3C	DES
HTR3C	PPP3CB
SOCS1	COMMD1
SOCS1	STAT5A
IGKV2-28	SERPING1
IGKV2-28	GNGT1
IGKV2-28	C1S
MYOD1	DCT
MYOD1	DES
MYOD1	TUBB2B
MYOD1	TPCN1
MYOD1	GATA1
MYOD1	DDX5
MYOD1	PPP3CB
MYOD1	STAT5A
PRTFDC1	STAT5A
DDX5	CUL7
DDX5	STON2
PPP3CB	TPCN1
CASP3	ABCB6
CASP3	CFTR
CASP3	GATA1
CASP3	CYP2E1
GATA1	STON2
GATA1	TUBB2B
STON2	CFTR
ABCB6	PHKA1
ABCB6	DCT
ABCB6	CFTR
CFTR	COMMD1
CFTR	DES
CFTR	CYP2E1
FXYD3	GNGT1
STAT5A	SERPING1
CUL7	TUBB2B
CUL7	COMMD1
C1S	SERPING1
TPCN1	DES
