#tail	head
POLDIP2	SFPQ
POLDIP2	CANX
POLDIP2	POLN
POLDIP2	SEC23A
INS	ZFC3H1
INS	STAT3
INS	AP3M2
INS	SFPQ
INS	VDAC3
INS	S100A8
INS	ATP5PD
INS	TACC3
INS	FKBP1B
INS	CACNA1C
INS	PIAS1
INS	CACNB3
INS	PPP5C
INS	INHBC
INHBC	NF1
INHBC	BMP3
INHBC	FKBP1B
SEC23A	TACC3
SEC23A	ELAVL1
SEC23A	CANX
SEC23A	HIST1H1B
SEC23A	SFPQ
SEC23A	ATP1B3
SEC23A	GRIA1
SYT5	CACNB3
SYT5	RYR1
SYT5	STX2
SYT5	UNC13C
SYT5	FKBP1B
SYT5	ETS1
SYT5	CACNA1C
SYT5	GRIA1
GRIA1	CANX
GRIA1	ATP1B3
GRIA1	CACNA1C
GRIA1	CACNB3
GRIA1	AP3M2
GRIA1	VDAC3
GRIA1	ATP1A4
TACC3	MRE11
TACC3	ZFC3H1
PIAS1	STAT3
PIAS1	SFPQ
PIAS1	ELAVL1
ELAVL1	CANX
ELAVL1	STX2
ELAVL1	STAT3
ELAVL1	UST
ELAVL1	SFPQ
ELAVL1	ETS1
ELAVL1	TOLLIP
ELAVL1	ELF2
STX2	UNC13C
SPIB	ETS1
SPIB	ELF2
MRE11	PPP5C
MRE11	POLN
MRE11	SFPQ
STAT3	BRAF
STAT3	NF1
SFPQ	ATP1B3
SFPQ	HIST1H1B
TOLLIP	PEG10
FKBP1B	CACNB3
FKBP1B	BMP3
FKBP1B	RYR1
FKBP1B	VDAC3
FKBP1B	CACNA1C
S100A8	CACNB3
S100A8	RYR1
S100A8	ATP1A4
S100A8	UNC119
S100A8	ATP1B3
S100A8	CACNA1C
ETS1	NF1
ETS1	PEG10
ETS1	CANX
ZFC3H1	HIST1H1B
ZFC3H1	UNC119B
NF1	CACNB3
ATP5PD	VDAC3
ATP5PD	ELF2
ATP5PD	CANX
UNC119	UNC119B
UNC13C	PRKCSH
ATP1B3	SLC12A6
ATP1B3	ATP1A4
ATP1B3	CANX
ATP1B3	VDAC3
ATP1B3	KCNN1
KCNN1	ATP1A4
WNK3	HIST1H1B
WNK3	SLC12A6
SLC12A6	ATP1A4
PRKCSH	CANX
CANX	UST
CACNB3	VDAC3
CACNB3	CACNA1C
CACNB3	RYR1
RYR1	VDAC3
RYR1	CACNA1C
VDAC3	CACNA1C
BRAF	PPP5C
