#tail	head
UBE2D2	CDC27
UBE2D2	UBE2K
UBE2D2	MDM2
UBE2D2	HSPA8
UBE2D2	TRIM31
UBE2D2	PHF7
UBE2D2	BRCA1
LRRC15	JUN
LRRC15	POPDC2
LRRC15	GDF5
LRRC15	SETDB2
LRRC15	PITX2
GPSM2	P2RY4
GPSM2	PTGER3
F2R	IL6
F2R	LEF1
F2R	ATP13A2
F2R	CDK2
SMS	HEATR3
SMS	MAPK6
SMS	E4F1
BOLA2	STAT4
BOLA2	TK1
BOLA2	MAPK6
ALPP	RRM2
ALPP	SOAT2
ALPP	P2RY4
ALPP	ALPG
SDHAF2	HSPA8
SDHAF2	GABPB2
SDHAF2	JUN
SDHAF2	ABCA2
SDHAF2	RRM2
RASSF1	MDM2
RASSF1	ATR
RASSF1	E4F1
RASSF1	TERT
TRIM31	UBE2K
NOSTRIN	IL6
NOSTRIN	STAT6
NOSTRIN	ATP13A2
MYOG	MYF5
MYOG	FTL
MYOG	PITX2
MYOG	IRF1
MYOG	AES
MYOG	BMPR2
MYOG	EDC4
FTL	LEF1
FTL	TF
FTL	NOG
ATP13A2	POPDC2
ATP13A2	STAT6
ATP13A2	HSPA8
GABPB2	CSNK2B
GABPB2	CIAO1
GABPB2	PHF20L1
GABPB2	C9orf40
GABPB2	RPL32
GABPB2	BAG6
GABPB2	LEF1
GABPB2	EDC4
GABPB2	HSPA8
NOG	PHF20L1
NOG	LEF1
NOG	MDM2
NOG	PTGER3
NOG	HEATR3
NOG	SETDB2
NOG	AES
NOG	IRF1
NOG	PPP2R2A
NOG	MOV10
NOG	STAT6
NOG	IL6
NOG	STAT4
NOG	LRRC8C
NOG	PITX2
NOG	CDK2
NOG	JUN
NOG	MYF5
NOG	FKBP1B
NOG	PPP2CA
NOG	RSPO2
NOG	GDF5
NOG	BMPR2
NOG	TRIB3
NOG	CSNK1D
NOG	LGR5
NOG	IER5
NOG	AP1S1
NOG	C9orf40
NOG	SHMT2
NOG	MAX
NOG	CDC7
NOG	CDC27
PPP2CA	CSNK1D
PPP2CA	IER5
PPP2CA	NUP107
PPP2CA	RPL7
PPP2CA	CDC27
PPP2CA	BRCA1
PPP2CA	CSNK2B
PPP2CA	MDM2
PPP2CA	HSPA8
PPP2CA	RPL32
PPP2CA	PPP2R2A
PPP2CA	MAX
PPP2CA	CDK2
PPP2CA	JUN
PPP2CA	SMAD3
PPP2R2A	HSPA8
PPP2R2A	JUN
PPP2R2A	RPL7
PPP2R2A	IER5
PPP2R2A	RPL32
PPP2R2A	E4F1
STAT6	FOXB1
STAT6	MAPK6
STAT6	BMPR2
STAT6	CSNK1D
STAT6	IRF1
STAT6	CDC7
STAT6	NCOA2
STAT6	CDK2
STAT6	STAT4
STAT6	JUN
AP1S1	HSPA8
AP1S1	MOV10
IRF1	VDAC2
IRF1	MDM2
IRF1	MOV10
IRF1	TERT
IRF1	STAT4
IRF1	PITX2
IRF1	EDC4
IRF1	IL6
SOAT2	LEF1
SOAT2	PITX2
SOAT2	ALPG
C9orf40	SHMT2
C9orf40	MOV10
LRRC8C	POPDC2
ABCA2	JUN
FOXI2	NUP107
FOXI2	NSDHL
FOXI2	EEF1D
DALRD3	TK1
DALRD3	PITX2
DALRD3	BRCA1
DALRD3	CSNK2B
NSDHL	FOXB1
NSDHL	MOV10
BMPR2	PITX2
BMPR2	SMAD3
BMPR2	CSNK2B
BMPR2	LEF1
BMPR2	TRIB3
BMPR2	GDF5
BMPR2	STAT4
CIAO1	BAG6
CIAO1	E4F1
CIAO1	MAX
CIAO1	SGTA
STAT4	MAPK6
STAT4	CDC7
STAT4	CDK2
STAT4	JUN
STAT4	PITX2
STAT4	CSNK1D
GDF5	SMAD3
GDF5	FKBP1B
ATR	MDM2
ATR	NCOA2
ATR	HIST1H4L
ATR	BRCA1
ATR	CDC7
ATR	E4F1
ATR	CDK2
ATR	LEF1
FKBP1B	VDAC2
LGR5	E4F1
LGR5	RSPO2
LGR5	JUN
PTGER3	HEATR3
ALPG	RRM2
ALPG	SGTA
RPL7	CDK2
RPL7	JUN
RPL7	RPL32
RPL7	VDAC2
RPL7	SRP14
RPL7	BRCA1
RPL7	HSPA8
RPL7	MOV10
E4F1	IL6
E4F1	PITX2
E4F1	MAPK6
E4F1	PHF7
E4F1	FOXB1
E4F1	MOV10
LEF1	IL6
LEF1	HIST1H4L
LEF1	MOV10
LEF1	TF
LEF1	FOXB1
LEF1	BAG6
LEF1	MYF5
LEF1	TERT
LEF1	NUP107
LEF1	PITX2
LEF1	SMAD3
LEF1	UBE2K
LEF1	MAPK6
LEF1	MAX
LEF1	AES
RRM2	CDC27
RRM2	HSPA8
RRM2	CDK2
FCHSD1	JUN
FCHSD1	MOV10
FCHSD1	PITX2
RSPO2	MAX
MED23	BAG6
MED23	VDAC2
MED23	NCOA2
MYF5	ENKD1
MYF5	AES
SGTA	HSPA8
SGTA	MOV10
SGTA	MAX
SGTA	EEF1D
SGTA	BAG6
SGTA	CSNK1D
SGTA	EDC4
SGTA	MAPK6
PHF20L1	MAX
PHF20L1	HIST1H4L
PHF20L1	TERT
BRCA1	NUP107
BRCA1	SMAD3
BRCA1	CSNK2B
BRCA1	UBE2K
BRCA1	JUN
BRCA1	TRIB3
BRCA1	EEF1D
BRCA1	HSPA8
BRCA1	NCOA2
BRCA1	HIST1H4L
BRCA1	MOV10
BRCA1	CDK2
BRCA1	CSNK1D
BRCA1	RPL32
BRCA1	MDM2
EEF1D	BAG6
EEF1D	MAPK6
EEF1D	CDK2
EEF1D	JUN
EEF1D	MAX
EEF1D	FOXB1
EDC4	MOV10
EDC4	SHMT2
EDC4	MDM2
ENKD1	DYDC1
AES	MOV10
AES	DYDC1
AES	PITX2
AES	SMAD3
AES	TRIB3
SRP14	DRICH1
SRP14	JUN
SRP14	RPL32
TRIB3	CSNK2B
TRIB3	NCOA2
TRIB3	SMAD3
TRIB3	PITX2
TERT	MDM2
TERT	MAX
TERT	SMAD3
TERT	JUN
CDC7	CDK2
CDC7	MAPK6
MDM2	CSNK1D
MDM2	CSNK2B
MDM2	HIST1H4L
MDM2	CDK2
MDM2	HSPA8
MDM2	PHF7
MDM2	NUP107
MDM2	IL6
MDM2	UBE2K
MDM2	JUN
HIST1H4L	JUN
HIST1H4L	NCOA2
HIST1H4L	CDK2
HIST1H4L	POPDC2
HIST1H4L	IL6
FOXB1	SMAD3
MAPK6	JUN
MAPK6	TF
MAPK6	HSPA8
MAPK6	VDAC2
MAPK6	BAG6
CDK2	CDC27
CDK2	SMAD3
CDK2	MAX
CDK2	HSPA8
CDK2	VDAC2
CDK2	RPL32
CDK2	TK1
DRICH1	CSNK1D
MAX	VDAC2
MAX	JUN
MAX	RPL32
MAX	IER5
MAX	SMAD3
MAX	TK1
MAX	PHF7
MAX	CSNK2B
MAX	HSPA8
MAX	UBE2K
NUP107	HSPA8
VDAC2	HSPA8
VDAC2	JUN
BAG6	CSNK2B
BAG6	CRY1
BAG6	HSPA8
BAG6	SMAD3
BAG6	TK1
HSPA8	TF
HSPA8	CSNK1D
HSPA8	PITX2
HSPA8	SMAD3
HSPA8	JUN
IER5	PITX2
RPL32	MOV10
PITX2	JUN
PITX2	NCOA2
PITX2	SMAD3
PITX2	UBE2K
SMAD3	JUN
SMAD3	TF
SMAD3	CSNK1D
SMAD3	CDC27
SMAD3	IL6
TK1	MOV10
MOV10	CSNK2B
MOV10	JUN
IL6	JUN
IL6	CDC27
IL6	TF
IL6	NCOA2
POPDC2	JUN
NCOA2	JUN
NCOA2	UBE2K
CSNK2B	CSNK1D
CSNK2B	SHMT2
CSNK2B	CRY1
CSNK2B	JUN
CSNK1D	JUN
CSNK1D	CRY1
UBE2K	CDC27
SHMT2	JUN
HEATR3	JUN
CDC27	JUN
