#tail	head
JOSD2	AHCYL2
JOSD2	AHCYL1
NOG	CCKBR
NOG	LEF1
NOG	TAX1BP3
NOG	SETDB2
NOG	AKT3
NOG	ERBB3
NOG	PRKCH
POTEF	ERBB3
IGLC2	RHOA
IGLC2	ERBB3
IGLC2	GNB4
IGLC2	IGLV3-19
IGLC2	PRKCH
IGLC2	AKT3
LEF1	AKT3
LEF1	ERBB3
LEF1	TAX1BP3
LEF1	AHCYL1
AHCYL1	AHCYL2
AHCYL1	SETDB2
AHCYL1	THADA
GNB4	IGKV2-30
GNB4	AKT3
GNB4	ERBB3
GNB4	PRKCH
GNB4	IGLV3-19
GNB4	CCKBR
GNB4	RHOA
TAX1BP3	RHOA
CCKBR	THADA
AHCYL2	SETDB2
IGKV2-30	RHOA
IGKV2-30	PRKCH
IGKV2-30	AKT3
IGKV2-30	ERBB3
ERBB3	PRKCH
ERBB3	IGLV3-19
ERBB3	AKT3
ERBB3	RHOA
IGLV3-19	RHOA
IGLV3-19	AKT3
IGLV3-19	PRKCH
AKT3	PRKCH
AKT3	RHOA
