#tail	head
SPRY4	POU4F2
SPRY4	HOXA1
MYL6	ESR2
MYL6	SEPHS1
MYL6	CALM2
MYL6	HIST1H2BF
MYL6	DDX3X
CYP11A1	MPO
CYP11A1	HSPA5
CYP11A1	ESR2
CYP11A1	LEP
CYP11A1	CYP21A2
CYP11A1	CAPN6
POLR2G	HIST1H2BF
POLR2G	HOXA1
POLR2G	ESR2
POLR2G	TXNL4A
MPO	LEP
MPO	CAPN6
MPO	HSPA5
MPO	ESR2
MPO	HTN3
HSPA5	CALM2
HSPA5	CAPN6
HSPA5	RANBP2
HSPA5	DDX3X
HSPA5	SEPHS1
HSPA5	FLOT2
HOXA1	CYP21A2
HOXA1	TRAF4
HOXA1	ESR2
HOXA1	BSCL2
HOXA1	HIST1H2BF
FLOT2	SEPHS1
FLOT2	ESR2
FLOT2	CCT5
DDX3X	SEPHS1
DDX3X	TXNL4A
DDX3X	CALM2
DDX3X	ESR2
DDX3X	HIST1H2BF
DDX3X	DHX8
SLC25A14	HTN3
SLC25A14	LEP
CYP21A2	POU4F2
CALM2	ESR2
CALM2	RANBP2
RANBP2	ESR2
RANBP2	BUB3
DHX8	TXNL4A
DHX8	ESR2
DHX8	SAP30BP
BSCL2	CPEB2
TRIM41	ZNF835
TRAF4	ZNF835
TRAF4	ESR2
TRAF4	SEPHS1
SEPHS1	ESR2
SEPHS1	CCT5
SEPHS1	BUB3
SAP30BP	HIST1H2BF
SAP30BP	ESR2
HTN3	LEP
BUB3	ESR2
BUB3	CCT5
BUB3	CCT7
ESR2	CCT7
ESR2	CCT5
ESR2	TXNL4A
ESR2	LEP
CCT5	CCT7
