#tail	head
PAX2	PAX4
PAX2	NR3C1
PAX2	CLDN2
PAX2	KCNK10
PAX2	NFE2L1
PAX2	ODF3L1
PAX2	ANKS1B
AOC3	SLC9A1
AOC3	IL6
AOC3	MYD88
AOC3	CASP3
AOC3	LGSN
AOC3	SLC12A4
AIMP2	OPLAH
AIMP2	LARS
AIMP2	BHMT2
CLDN2	GRM2
CLDN2	IL6
ODF3L1	FOXJ1
CD3G	IL6
CD3G	MYD88
CD3G	PRKCD
CD3G	NR3C1
MYD88	IL6
MYD88	CHUK
LGSN	SLC9A1
LGSN	SLC12A4
LGSN	OPLAH
YIPF3	ELK1
YIPF3	SLC43A1
COPS5	CHUK
COPS5	DHX15
COPS5	GAN
GAN	DCDC1
GRM2	GNRH1
GRM2	IL6
GRM2	NR3C1
SLC9A1	PRKCD
SLC9A1	NR3C1
SLC9A1	CASP3
SLC9A1	ATP1B2
SLC9A1	PAX4
SLC9A1	SLC12A4
SLC43A1	BHMT2
DCDC1	ELK1
FOXJ1	ANKS1B
ELK1	PAX4
ELK1	ATP1B2
ELK1	CHUK
ELK1	DHX15
CASP3	IL6
CASP3	NR3C1
CASP3	DICER1
CASP3	GNRH1
CASP3	PRKCD
LARS	BHMT2
LARS	OPLAH
HEBP1	NFE2L1
HEBP1	COTL1
PRKCD	CHUK
PRKCD	FSCN1
DICER1	PAX4
DICER1	DHX15
CHUK	IL6
IL6	GNRH1
IL6	NR3C1
IL6	PAX4
IL6	NFE2L1
IL6	FSCN1
DHX15	PAX4
NFE2L1	PAX4
NFE2L1	ANKS1B
SLC12A4	PAX4
SLC12A4	ATP1B2
GPM6B	NR3C1
GPM6B	PAX4
KCNK10	ATP1B2
KCNK10	NR3C1
KCNK10	PAX4
PAX4	NR3C1
PAX4	ATP1B2
PAX4	ANKS1B
GNRH1	NR3C1
COTL1	FSCN1
