#tail	head
SMAD3	UBC
SMAD3	PPM1A
SMAD3	TGFBR1
SMAD3	AKT1
SMAD3	FRY
SMAD3	LEF1
SMAD3	GDF11
SMAD3	GDF6
SMAD3	ASB2
PPM1A	ASB2
PPM1A	AKT1
IRAK1	FGF19
IRAK1	UBC
IRAK1	AKT1
IRAK1	NFIL3
RB1CC1	UBC
RB1CC1	LEF1
RB1CC1	RPA2
EZH2	LEF1
EZH2	AKT1
NFIL3	LEF1
NFIL3	FRY
TUFM	HNRNPL
TUFM	RPL35A
TUFM	ASB17
TUFM	RPS26
TUFM	UBC
FGF19	AKT1
FGF19	UBC
FGF19	LEF1
FGF19	DRD2
FGF19	AGTR2
RPS26	RPL35A
RPS26	SRP72
DRD2	GDF6
DRD2	GDF11
DRD2	LIF
ASB17	UBC
GDF11	AGTR2
GDF11	TGFBR1
GDF11	GDF6
HNRNPL	RPA2
HNRNPL	UBC
TGFBR1	UBC
TGFBR1	TGFBR3
TGFBR1	AKT1
TGFBR1	LEF1
TGFBR1	GDF6
LIF	AGTR2
GDF6	AGTR2
RPA2	UBC
RPA2	LEF1
LEF1	FRY
AKT1	UBC
FRY	UBC
SRP72	RPL35A
ASB2	UBC
ASB2	RPL35A
RPL35A	UBC
