#tail	head
PABPN1	SRSF6
PABPN1	SNRPN
PABPN1	HNRNPL
PABPN1	CLP1
PABPN1	DHX9
PABPN1	MEIS1
PABPN1	GABARAPL1
CLP1	SRSF6
CLP1	SNRPN
CLP1	HNRNPL
CLP1	DHX9
CLP1	APP
AP1M1	RRBP1
AP1M1	PRSS3
PRMT1	RRBP1
PRMT1	DCAF16
PRMT1	DHX9
PRMT1	SMURF1
PRMT1	GABARAPL1
PRMT1	PKM
PRMT1	MYC
PRMT1	RUNX1
DAZAP1	GABARAPL1
DAZAP1	ASS1
DAZAP1	PKM
DAZAP1	MYC
DAZAP1	HNRNPL
SDK2	TANK
SDK2	MEIS1
PKM	NME1
PKM	ASS1
PKM	TYRO3
PKM	GABARAPL1
PKM	SLC27A2
PKM	MYC
PKM	APP
PKM	FBXO6
TANK	APP
TANK	PRSS3
FBXO6	GEMIN5
FBXO6	ASS1
FBXO6	NME1
FBXO6	DHX9
FBXO6	AHSA1
FBXO6	HNRNPL
ASS1	NME1
ASS1	MYC
ASS1	HNRNPL
ASS1	APP
LHX9	APP
LHX9	SMURF1
LHX9	ANKRD17
LHX9	MEIS1
LHX9	MYC
ANKRD17	TCEANC2
ANKRD17	HNRNPL
ANKRD17	MYC
SLC27A2	ACOX1
SLC27A2	NME1
EYA1	MYC
EYA1	TYRO3
EYA1	RUNX1
EYA1	MEIS1
TCEANC2	MEIS1
TCEANC2	DCAF16
TCEANC2	APP
MYC	C9orf43
MYC	SASH3
MYC	TYRO3
MYC	NME1
MYC	DOP1A
MYC	GEMIN5
MYC	APP
MYC	RUNX1
MYC	MEIS1
SASH3	SMURF1
SASH3	RUNX1
SASH3	APP
GABARAPL1	NME1
GABARAPL1	ACOX1
GABARAPL1	HNRNPL
GABARAPL1	DHX9
NME1	ACOX1
GEMIN5	RRBP1
GEMIN5	SNRPN
HNRNPL	SRSF6
HNRNPL	DOP1A
HNRNPL	APP
HNRNPL	DHX9
HNRNPL	SMURF1
HNRNPL	RRBP1
HNRNPL	SNRPN
SMURF1	DHX9
SMURF1	APP
RUNX1	MEIS1
AHSA1	DHX9
AHSA1	RRBP1
AHSA1	APP
APP	C9orf43
APP	SRSF6
APP	PRSS3
DHX9	SNRPN
DHX9	SRSF6
SRSF6	SNRPN
MEIS1	DOP1A
