#tail	head
ZNF598	CLTC
ZNF598	ATP1B3
NOG	UBE2E2
NOG	SYNJ1
NOG	AVP
NOG	LDLR
NOG	CYP26A1
NOG	ATP1B3
NOG	ZNF10
NOG	BCHE
NOG	FNBP1
NOG	BIRC5
SLC24A5	RXRA
SLC24A5	CACNA1D
SLC24A5	STX1A
SLC24A5	KCNE5
FNBP1	AVP
FNBP1	FCHO1
FNBP1	LDLR
FNBP1	CLTC
FNBP1	SYNJ1
FNBP1	AP2A1
GNG13	WNT7A
GNG13	AVP
GNG13	SYNJ1
GNG13	CACNA1D
GNG13	ADORA2A
AP2A1	SEC23B
AP2A1	FCHO1
AP2A1	LDLR
AP2A1	AVP
AP2A1	EFNB3
AP2A1	CLTC
AP2A1	SYNJ1
AP2A1	SMN1
SEC23B	FBXO22
SEC23B	SYNJ1
SEC23B	CLTC
SEC23B	SMN1
SEC23B	ATP1B3
JAGN1	STX1A
JAGN1	IFNGR2
BIRC5	BCHE
BIRC5	NDEL1
BIRC5	STAT3
UBE2E2	FBXO22
WNT7A	ADORA2A
WNT7A	LDLR
CACNA1D	STX1A
NDEL1	ZNF10
IFNGR2	STAT3
ADORA2A	AVP
EFNB3	CLTC
EFNB3	SYNJ1
FCHO1	CLTC
FCHO1	AVP
FCHO1	SYNJ1
FCHO1	LDLR
SYNJ1	AVP
SYNJ1	CLTC
SYNJ1	SMN1
SYNJ1	LDLR
STAT3	BCHE
FBXO22	SMN1
CYP26A1	RXRA
BCHE	STX1A
ATP1B3	SMN1
ATP1B3	KCNE5
ATP1B3	RXRA
AVP	CLTC
AVP	LDLR
RXRA	SMN1
RXRA	LDLR
LDLR	CLTC
CLTC	SMN1
