#tail	head
RAB11FIP3	EXOC3
RAB11FIP3	ARF6
RAB11FIP3	EXOC5
RAB11FIP3	NOG
RAB11FIP3	TRIM25
EXOC3	APP
EXOC3	ARF6
EXOC3	CDH1
EXOC3	ESR2
EXOC3	EXOC5
EXOC3	TRIM25
EXOC3	EGFR
PSME3	NOG
PSME3	PSMC4
PSME3	TRIM25
PSME3	UBA52
PSME3	UBC
PSME3	PSMD3
PSME3	REL
PSME3	SF3A3
PSME3	PSMA1
PSME3	UBE2Z
PSME3	FGF9
PSME3	ZCCHC10
PSME3	PAX4
PSME3	ZMAT5
PSME3	TBP
PSME3	SMURF2
PSME3	TNF
PSME3	IGF2
PSME3	GPATCH2L
PSME3	ATP5F1B
PSME3	MOV10
RUSC1	PLA2G6
RUSC1	N4BP3
RUSC1	APP
RUSC1	CREB1
SLC24A4	SLC6A8
SLC24A4	CACNA1B
SLC24A4	P2RX5
SLC24A4	SLC20A1
SLC24A4	NCALD
SLC24A4	CACNA1A
SLC24A4	PDX1
SLC24A4	TRPV4
SLC24A4	ATP1B1
SLC24A4	TRPC4
SLC24A4	TRPV6
SLC24A4	APP
SLC24A4	HTR3C
SLC24A4	SLC4A4
NCALD	RIMS1
NCALD	MEOX2
NCALD	TNNT3
NCALD	RASGRP1
NCALD	CAMK2D
NCALD	SYT1
NCALD	MYL1
NCALD	CREB1
NCALD	MYL5
NCALD	GOLGA7
NCALD	PXN
NCALD	NOG
NCALD	CAV3
NCALD	PAX4
NCALD	PYGM
NCALD	SORBS1
CYSRT1	LMF2
CYSRT1	APP
CYSRT1	FHL3
CYSRT1	ESR2
CYSRT1	PTGDS
CYSRT1	FAM124B
CYSRT1	KRTAP10-9
CYSRT1	CACNA1A
CYSRT1	GPATCH2L
CYSRT1	KRT31
CYSRT1	ADAMTSL5
ARF1	ARFIP2
ARF1	PLA2G6
ARF1	PRNP
ARF1	UBC
ARF1	COX15
ARF1	TPTE
ARF1	NECAP1
ARF1	DUSP22
ARF1	PXN
ARF1	ATP7A
ARF1	NOG
ARF1	CD4
ARF1	ARF6
KRTAP10-9	ZNF688
KRTAP10-9	EGFR
KRTAP10-9	MAZ
KRTAP10-9	MEOX2
