#tail	head
HDAC8	SLC30A10
HDAC8	IFNG
SLC30A10	APP
SLC30A10	MDM2
SLC30A10	IFNG
SLC30A10	TCF3
MAT1A	MAT2A
MAT1A	APP
MAT1A	SUCLA2
MAT1A	TRDMT1
MAT1A	DNMT3A
CLK2	RPS27A
CLK2	YY1
CREBBP	YY1
CREBBP	RPS27A
CREBBP	BMI1
CREBBP	TCF3
CREBBP	MDM2
CREBBP	GATA1
MGAT4B	UGT2B17
MGAT4B	ENTPD5
MGAT4B	B3GNT5
MGAT4B	TCF3
MGAT4B	YY1
MGAT4B	B3GALT1
MGAT4B	GCNT4
YY1	CBX2
YY1	APP
YY1	MAT2A
YY1	MDM2
YY1	FHL3
YY1	BMI1
YY1	TCF3
RPS27A	APP
RPS27A	MDM2
RPS27A	TCF3
SUCLA2	MAT2A
SUCLA2	ENTPD5
GATA1	APP
GATA1	DCX
GATA1	TCF3
GATA1	FHL3
TRDMT1	APP
TRDMT1	MAT2A
CBX2	DNMT3A
CBX2	BMI1
MAT2A	DNMT3A
FHL3	TCF3
YPEL1	TCF3
DNMT3A	TCF3
DNMT3A	BMI1
B3GALT1	B3GNT5
B3GALT1	UGT2B17
B3GALT1	ENTPD5
B3GALT1	GCNT4
ENTPD5	GCNT4
ENTPD5	UGT2B17
ENTPD5	B3GNT5
B3GNT5	GCNT4
B3GNT5	UGT2B17
TCF3	APP
TCF3	DCX
APP	MDM2
APP	IFNG
APP	OLFM1
APP	DCX
UGT2B17	GCNT4
IFNG	MDM2
IFNG	BMI1
ARNTL2	OLFM1
ARNTL2	MDM2
