#tail	head
TDGF1P3	DAND5
TDGF1P3	SMAD3
FHL2	CTNNB1
FHL2	TBP
FHL2	SMAD3
ALDH1A1	TDGF1
ALDH1A1	ADH5
ALDH1A1	FOXO4
ALDH1A1	ACSS2
FRMD5	CTNNB1
FRMD5	FOXO4
CTNNB1	RPS27A
CTNNB1	HIST1H2BJ
CTNNB1	SMAD3
CTNNB1	FOXO4
RANBP10	FOXO4
RANBP10	TDGF1
TDGF1	DAND5
TDGF1	SMAD3
ACTN2	ITGAL
ACTN2	SMAD3
ACTN2	IGSF8
ACTN2	COL9A2
RBBP4	IGSF8
RBBP4	HLA-B
RBBP4	HIST1H2BJ
RBBP4	TBP
RBBP4	FOXO4
RBBP4	SMAD3
RPS27A	EXO1
RPS27A	SMAD3
RPS27A	HIST1H2BJ
RAD52	EXO1
RAD52	SUMO1P1
IGSF8	HIST1H2BJ
SMAD3	ITGAL
SMAD3	FOXO4
ACSS2	NDST3
GRPEL1	HLA-B
NDST3	SDC3
HIST1H2BJ	TBP
ZBTB6	SUMO1P1
ZBTB6	ATF7IP
ATF7IP	FOXO4
ATF7IP	HLA-B
COL9A2	SDC3
COL9A2	ITGAL
SDC3	ITGAL
