#tail	head
BPTF	WDR5
BPTF	HIST1H4K
BPTF	HIST1H4J
BPTF	HNRNPL
FNIP2	HSPA1A
FNIP2	FNIP1
CENPB	HIST1H4K
CENPB	SMN1
CENPB	TK1
CENPB	HIST1H4J
CHAF1B	HIST1H4K
CHAF1B	HIST1H4J
CHAF1B	NASP
SMARCB1	HIST1H4K
SMARCB1	HSPA1A
SMARCB1	HIST1H4J
SMARCB1	RPS6KA5
SMARCB1	WDR5
SMARCB1	C1orf131
NASP	HIST1H4J
NASP	HIST1H4K
HIST1H4K	PAK1
HIST1H4K	RPS6KA5
HIST1H4K	SMN1
HIST1H4K	WDR5
C1orf131	DUSP23
PAK1	RUNX3
PAK1	PGAM1
PAK1	HIST1H4J
GAPDHS	GDPGP1
GAPDHS	PGAM1
GAPDHS	DUSP23
GAPDHS	PGM2L1
FNIP1	HNRNPL
FNIP1	HSPA1A
SP110	TK1
SP110	RUNX3
SP110	SMN1
PIGR	PCK2
PIGR	DDX31
PCK2	ZG16B
HNRNPL	SMN1
HNRNPL	ZG16B
HNRNPL	TK1
WDR5	HIST1H4J
WDR5	SMN1
HIST1H4J	SMN1
HIST1H4J	RPS6KA5
ZG16B	DDX31
PGAM1	GDPGP1
PGAM1	PGM2L1
DUSP23	GDPGP1
GDPGP1	PGM2L1
SMN1	HSPA1A
