#tail	head
SNRPN	KEAP1
SNRPN	SRSF6
SNRPN	CPSF1
SNRPN	HSPA8
H2AFY	FOXO4
H2AFY	FOXF2
H2AFY	CUL7
H2AFY	CUL3
H2AFY	RAN
HSPA8	RPA1
HSPA8	VARS
HSPA8	RAN
HSPA8	SRSF6
HSPA8	EPRS
HSPA8	UBE2M
HSPA8	CPSF1
HSPA8	CUL3
HSPA8	STAU1
UBE2G2	UBA7
UBE2G2	ASB14
UBE2G2	CUL7
UBE2G2	CUL3
UBE2G2	FBXL8
UBE2G2	KEAP1
UBE2M	ASB14
UBE2M	CUL7
UBE2M	VARS
UBE2M	KEAP1
UBE2M	RAN
UBE2M	CUL3
UBE2M	FBXL8
CPSF1	STAU1
CPSF1	SRSF6
CPSF1	EPRS
CPSF1	CUL7
CPSF1	RPA1
CPSF1	CUL3
EPRS	CUL7
EPRS	STAU1
EPRS	RPA1
EPRS	CUL3
SRSF6	CUL7
SRSF6	FOXF2
UBE2E3	CUL7
UBE2E3	KEAP1
UBE2E3	ASB14
UBE2E3	CUL3
UBE2E3	FBXL8
UBE2E3	UBA7
IFIH1	FOXO4
IFIH1	KEAP1
IFIH1	FOXF2
ASB14	UBA7
CUL3	KEAP1
CUL3	STAU1
CUL3	UBA7
CUL3	ZNF711
CUL3	VARS
RAN	FOXO4
RAN	STAU1
RAN	CUL7
ZNF711	FOXO4
ZNF711	FOXF2
UBA7	FBXL8
UBA7	KEAP1
UBA7	CUL7
RPA1	CUL7
FOXF2	FOXO4
FOXF2	SEMA4G
CUL7	STAU1
FOXO4	SEMA4G
VARS	STAU1
