#tail	head
RPSA	NTRK1
RPSA	PPP1CB
RPSA	SPINT1
RPSA	TUFM
RPSA	MOV10
RPSA	EIF3L
RPSA	HSPA9
RPSA	CLTA
RPSA	VCP
RPSA	YWHAE
RPSA	UBB
RPSA	SORBS2
RPSA	SHKBP1
RPSA	NAP1L1
RPSA	SSR1
MAX	DCTN3
MAX	TFAP4
MAX	SP1
MAX	HSPA9
MAX	GGH
MAX	TCF12
MAX	SSR1
MAX	PPP1CB
MAX	SSSCA1
CDC42SE1	TCF12
CDC42SE1	TFAP4
AP2A2	UBB
AP2A2	CLTA
AP2A2	SORBS2
AP2A2	SHKBP1
AP2A2	SPINT1
AP2A2	SSR1
AP2A2	VCP
CCDC186	TFAP4
CCDC186	SP1
ACOT7	NAP1L1
ACOT7	HSD17B10
ACOT7	NTRK1
ACOT7	ACLY
YWHAE	SP1
YWHAE	NTRK1
YWHAE	SSR1
YWHAE	SHKBP1
YWHAE	DCTN3
YWHAE	VCP
ACTR6	PSMA1
GGH	SPINT1
GGH	NTRK1
GGH	SORBS2
GGH	SHKBP1
GGH	SSR1
WWP1	PSMA1
WWP1	UBB
WWP1	TMEM255B
DYNLT1	PSMA1
DYNLT1	NTRK1
DYNLT1	ARGLU1
VCP	NTRK1
VCP	SHKBP1
VCP	ARPC2
VCP	SORBS2
VCP	PTCRA
VCP	UBB
VCP	SSR1
VCP	CLTA
VCP	PSMA1
VCP	GSTT2B
SHKBP1	SORBS2
SHKBP1	PPP1CB
SHKBP1	SPINT1
SHKBP1	NAP1L1
SHKBP1	MOV10
SHKBP1	TUFM
SHKBP1	SSR1
SHKBP1	ARPC2
SHKBP1	HSPA9
SHKBP1	CLTA
ARPC2	REL
ARPC2	NTRK1
ARPC2	UBB
ARPC2	CLTA
ARPC2	SORBS2
ARPC2	SSR1
ARPC2	PPP1CB
TCF12	PSMA1
TCF12	NTRK1
TCF12	TFAP4
SSSCA1	UBB
TUFM	SORBS2
TUFM	HSPA9
TUFM	SSR1
TUFM	NTRK1
TUFM	NAP1L1
REL	PSMA1
REL	HSPA9
REL	SP1
TFAP4	SP1
EIF4E	NTRK1
EIF4E	EIF3L
EIF4E	HSPA9
HSD17B10	HSPA9
HSD17B10	NAP1L1
NTRK1	SP1
NTRK1	SSR1
NTRK1	PPP1CB
NTRK1	ARGLU1
NTRK1	MOV10
NTRK1	EIF3L
NTRK1	HSPA9
NTRK1	PSMA1
NTRK1	ACLY
FAAP20	UBB
PSMA1	SP1
PSMA1	UBB
MOV10	SPINT1
RHBDL3	SP1
RHBDL3	PTCRA
NAP1L1	SPINT1
PPP1CB	CLTA
PPP1CB	SPINT1
PPP1CB	SSR1
HSPA9	SORBS2
HSPA9	SP1
HSPA9	SSR1
UBB	SSR1
UBB	SORBS2
UBB	SPINT1
UBB	CLTA
CLTA	SPINT1
CLTA	SORBS2
SORBS2	ACLY
SORBS2	SPINT1
SSR1	SPINT1
SPINT1	ACLY
DGAT2L6	ACLY
