#tail	head
GSTP1	MAPK3
GSTP1	CYP1A1
GSTP1	CYP1B1
GSTP1	HSPA1B
GSTP1	RUVBL2
GSTP1	APP
GSTP1	CTNNB1
GSTP1	CDC20
GSTP1	EIF4E
MAZ	CORO1A
MAZ	PLEKHB1
MAZ	SRC
MAZ	SHROOM2
MAZ	ARHGEF17
MAZ	APOD
MAZ	EIF4E
MAZ	E2F1
MAZ	RAD21
MAZ	MAPK3
MAZ	ACAN
MAZ	SLC6A14
MAZ	ITGA5
RPL37A	TRAM1
RPL37A	HIST1H3D
RPL37A	APP
RPL37A	RPL23
SRY	MYO18A
SRY	RBBP4
SRY	E2F1
SRY	CTNNB1
MYO18A	SRC
MYO18A	SDC4
MYO18A	ARHGEF17
TCEANC	HIP1
TCEANC	APP
TCEANC	TRIM54
TNFAIP3	YWHAH
TNFAIP3	SRC
TNFAIP3	ALDH9A1
CENPM	HIST1H3D
CENPM	RBBP4
CENPM	RAD21
CENPM	NUP85
CENPM	CDC20
RPL23	TRAM1
RPL23	YWHAH
RPL23	APP
RPL23	RAD21
RPL23	CTNNB1
RPL23	CDC20
YWHAH	MAPK3
YWHAH	PFDN2
YWHAH	SRC
YWHAH	MARK1
YWHAH	SHROOM2
YWHAH	E2F1
YWHAH	CTNNB1
YWHAH	TRAF7
ACAN	COL19A1
ACAN	SDC4
ACAN	ITGA5
ACAN	SRC
SOAT1	DCD
SOAT1	MARK1
SOAT1	E2F1
CTNNB1	RUVBL2
CTNNB1	PLEKHB1
CTNNB1	SDC4
CTNNB1	CYP1A1
CTNNB1	APP
CTNNB1	HIST1H3D
CTNNB1	PCDHA13
CTNNB1	SRC
CTNNB1	HSPA1B
E2F1	PLEKHB1
E2F1	CDC20
E2F1	HSBP1
E2F1	SHROOM2
E2F1	RBBP4
E2F1	NUP50
E2F1	TRAM1
CYP1A1	APP
CYP1A1	EIF4E
CYP1A1	HSPA1B
CYP1A1	CYP1B1
HSPA1B	DCD
HSPA1B	SRC
HSPA1B	MEAF6
HSPA1B	KPNA5
HSPA1B	RUVBL2
HSPA1B	SDC4
HSPA1B	MARK1
HSPA1B	RBBP4
HSPA1B	HSBP1
HSPA1B	APP
HSPA1B	NUP50
HSPA1B	NUP85
HSPA1B	CDC20
APOD	ZIC1
APOD	APP
APOD	LRAT
APOD	STRA6
SLC6A14	SLC6A2
SLC6A14	ATP1B3
SLC6A14	SLC7A6
SLC6A14	ACY3
SLC6A14	HAL
KPNA5	HIST1H3D
KPNA5	RBBP4
KPNA5	SPOPL
KPNA5	NUP50
KPNA5	NUP85
NUP85	NUP50
NUP85	RAD21
NUP85	CDC20
NUP85	EIF4E
RBBP4	MEAF6
RBBP4	RAD21
RBBP4	RUVBL2
RBBP4	HIST1H3D
MEAF6	HIST1H3D
MEAF6	RUVBL2
MEAF6	TRIM54
RUVBL2	APP
RUVBL2	PLEKHB1
RUVBL2	PFDN2
RUVBL2	HIST1H3D
COL19A1	SDC4
COL19A1	ITGA5
COL19A1	SRC
HSBP1	SRC
CORO1A	TRAF7
APP	ARHGEF17
APP	CYP1B1
APP	SLC7A6
APP	NUP50
APP	HIP1
APP	CDC20
APP	TRAM1
APP	LRAT
APP	MAPK3
APP	EIF4E
APP	SRC
MARK1	SLC25A20
MARK1	ALDH9A1
SLC25A20	ATP1B3
SLC25A20	SLC6A2
EIF4E	NUP50
ITGA5	SRC
ITGA5	MAPK3
ITGA5	SDC4
ITGA5	ATP1B3
RAD21	HIST1H3D
RAD21	CDC20
PCDHA13	SRC
NUP50	PFDN2
NUP50	MAPK3
TRIM54	MAPK3
SLC7A6	ATP1B3
SLC7A6	SLC6A2
SLC7A6	ACY3
SLC7A6	HAL
PFDN2	TRAF7
HIST1H3D	SRC
SRC	HIP1
SRC	ATP1B3
SRC	SHROOM2
SRC	SDC4
SRC	MAPK3
ACY3	ALDH9A1
SLC6A2	ATP1B3
ATP1B3	SDC4
SPOPL	PSMD12
STRA6	CYP1B1
STRA6	LRAT
MAPK3	SDC4
HAL	ZIC1
HIP1	SDC4
CYP1B1	LRAT
PSMD12	CDC20
ZIC1	ARHGEF17
