#tail	head
TAF1	HAX1
TAF1	BTK
TAF1	PHKB
TAF1	LDHA
TAF1	E2F3
TAF1	HNRNPK
TAF1	MAZ
UBE2F	GABPA
CGB5	THRAP3
IGKV1D-39	RAC1
IGKV1D-39	IGHV2-5
IGKV1D-39	GRB2
IGKV1D-39	GNG8
IGKV1D-39	EGFR
C4B	IGHV2-5
C4B	MAZ
C4B	IGLV3-25
KLB	IGHV2-5
KLB	GRB2
KLB	GNG8
KLB	GNG13
LDHA	PHOSPHO1
LDHA	NOG
LDHA	RAB1B
LDHA	CTPS2
GRB2	DGKB
GRB2	VASP
GRB2	IGHV2-5
GRB2	GNG8
GRB2	IGLV3-25
DGKB	IGHV2-5
DGKB	GNG12
DGKB	BTK
DGKB	IGLV3-25
NMT1	NCS1
PEBP1	TNFRSF19
AHCYL1	PPL
AHCYL1	JUN
AHCYL1	ANXA6
PANK2	LXN
GNG8	PIK3R3
GNG8	EGFR
GNG8	IGHV2-5
GNG8	GPER1
GNG8	RAC1
GNG8	EPO
MC4R	GNG12
NOG	GPC3
NOG	ESRRA
NOG	JUN
NOG	PPL
NOG	GNG7
NOG	TJP1
NOG	DUSP1
NOG	RAB7B
NOG	PMAIP1
WDR18	JUN
GPER1	JUN
GPER1	EGFR
GPER1	GNG13
CDC14A	JUN
CDC14A	EGFR
CDC14A	ESRRA
PCP2	TAS2R13
PCP2	GNG13
RBBP5	QRICH2
RBBP5	SHKBP1
PRKCI	RAB2A
MAZ	VASP
MAZ	NCS1
MAZ	ETNK2
MAZ	GPC3
MAZ	SPEG
GPC3	SEC13
GPC3	LRP12
SLC7A7	IL10
ATF3	JUN
ATF3	TNFRSF19
ATF3	ESRRA
ATF3	PMAIP1
ATF3	TJP1
SEC13	SPTAN1
SEC13	DYNC1LI2
SEC13	PPL
SEC13	SHKBP1
SEC13	SNRNP70
ANXA6	TJP1
LSM5	HNRNPK
IGLC2	IGHV2-5
IGLC2	GNG7
IGLC2	GNG12
IGLC2	RAC1
GNG12	TAS2R13
GNG12	RAC1
GNG12	MC1R
GNG12	EGFR
SF3A1	HNRNPK
SF3A1	THRAP3
SF3A1	GABPA
ETNK2	PHOSPHO1
PNOC	GNG7
SNRNP70	MYO6
SNRNP70	SHKBP1
SNRNP70	JUN
EPHB4	EGFR
EPHB4	RAC1
EPHB4	PTPN14
GABPA	CTPS2
EPO	BTK
EPO	GNG7
EPO	IGHV2-5
EPO	GNG13
PTPRH	EGFR
EGFR	DUSP1
EGFR	UBE2D3
EGFR	IGLV3-25
EGFR	BTK
IGLV3-25	GNG7
RNF19B	ESRRA
RNF19B	UBE2D3
DUSP1	BTK
ESRRA	VASP
ESRRA	RBL2
ESRRA	SPTAN1
SMARCAD1	RFC5
SIPA1L1	MAST3
SIPA1L1	PTPN14
PPL	SHKBP1
PPL	SPTAN1
UBE2D3	RNF115
SPTAN1	JUN
SPTAN1	RBL2
SPTAN1	HNRNPK
SPTAN1	DNMBP
IGHV2-5	GNG7
IGHV2-5	GNG13
HNRNPK	THRAP3
HNRNPK	RBL2
TNFRSF19	IL10
BTK	JUN
VASP	JUN
MLF1	HAX1
JUN	SPEG
