#tail	head
HBA1	HSPA8
HBA1	TP53
HBA1	TF
HBA1	MTHFR
NCL	CDK2
NCL	RPS14
NCL	RPS12
NCL	UTP20
NCL	RPS29
NCL	TP53
NCL	RPS23
NCL	SRC
NCL	SEC13
NCL	HSPA8
NCL	CUL4A
TP53	MTHFR
TP53	UBR5
TP53	SLC1A4
TP53	MAZ
TP53	HSPA8
TP53	CUL4A
TP53	RPS14
TP53	WDYHV1
TP53	CHEK1
TP53	TBCD
TP53	NLRC4
TP53	CD44
TP53	SRC
TP53	CDK2
TP53	HOXA2
TP53	HSD17B2
TP53	MUC1
TP53	RNF34
TP53	SMG5
TP53	SLC25A17
TP53	PRKCD
CLASP2	DYNLL1
CLASP2	SEC13
RNF34	HSPA8
RNF34	KLHL15
RPS12	LARP1
RPS12	RPL37
RPS12	CDK2
RPS12	SMG5
RPS12	RPS29
RPS12	RPS14
RPS12	RPS23
RPS12	HSPA8
TERF1	MISP
TERF1	TBCD
TERF1	SMARCC2
KRT27	OIP5
KRT27	KRT6B
KRT27	WDYHV1
KRT27	CCDC151
KRT27	SMARCC2
WNT7A	MAZ
WNT7A	DRD2
WNT7A	GPC4
WNT7A	CD44
HSD3B7	BDH1
HSD3B7	STAT5B
ZNF384	NF1
ZNF384	HOXA2
ZNF384	TULP4
ZNF384	MAZ
ZNF384	CCSER2
SLC25A17	MLXIPL
SLC25A17	SCGB2A2
SLC25A17	PYGB
TNFRSF11A	PSMA1
TNFRSF11A	SRC
KCTD1	PSMA1
KCTD1	WDYHV1
UBR5	MAZ
UBR5	TUBB4A
UBR5	NES
KLHL15	SAMD7
RASGRP4	GNAO1
RASGRP4	DYNLL1
SETX	DGKG
SETX	PPBP
SETX	KRT6B
SETX	PDE4B
SETX	TF
SETX	NLRC4
SETX	FGA
CD44	DYNLL1
CD44	SRC
CD44	GPC4
CD44	MAZ
WDYHV1	BLZF1
PPBP	KRT6B
PPBP	GNB5
PPBP	STAT5B
PPBP	MTHFR
PPBP	PDE4B
PPBP	DGKG
PPBP	NLRC4
PPBP	FGA
MAZ	SRC
MAZ	NF1
MAZ	SMG5
MAZ	HSPA8
MAZ	TUBB4A
MAZ	GPC4
MAZ	GNAO1
MAZ	SLC6A14
MAZ	DGKG
MAZ	HOXA2
MAZ	HSD17B2
BLZF1	STAT5B
BLZF1	MISP
BLZF1	PSMA1
KRT6B	DGKG
KRT6B	PDE4B
KRT6B	OIP5
KRT6B	NLRC4
KRT6B	FGA
RPL37	CDK2
RPL37	RPS29
RPL37	RPS14
RPL37	RPS23
RPL37	SMG5
SLC6A14	NME6
SLC6A14	SLC1A4
GPC4	SCGB2A2
GPC4	HSD17B2
GPC4	SRC
CNOT6L	PYGB
CNOT6L	MLXIPL
SEC13	SRC
SEC13	HSPA8
SEC13	MISP
SEC13	LARP1
SEC13	DYNLL1
COMMD2	TULP4
COMMD2	CCDC151
COMMD2	CUL4A
CCSER2	NES
MUC1	PRKCD
MUC1	SRC
MUC1	GALNT11
MUC1	PAQR6
UTP20	RPS23
UTP20	RPS14
DYNLL1	TUBB4A
DYNLL1	HSPA8
MTHFR	BDH1
MTHFR	TF
MTHFR	HSPA8
MTHFR	CHEK1
PAQR6	NF1
PAQR6	DRD2
GNB5	DGKG
GNB5	PRKCD
GNB5	CUL4A
GNB5	GNA12
GNB5	DRD2
GNB5	SRC
GNB5	GNAO1
GOT2	HSPA8
GOT2	CDK2
GOT2	GGT5
PYGB	PDE4B
SLC1A4	NME6
SLC1A4	GGT5
HOXA2	NF1
HOXA2	STAT5B
NLRC4	DGKG
NLRC4	FGA
NLRC4	PDE4B
RPS29	LARP1
RPS29	RPS23
RPS29	SMG5
RPS29	RPS14
OIP5	SAMD7
OIP5	MISP
MLXIPL	PDE4B
GALNT11	NME6
PDE4B	DGKG
PDE4B	NME6
PDE4B	DRD2
PDE4B	FGA
SRC	GNAO1
SRC	FGA
SRC	LARP1
SRC	TULP4
SRC	STAT5B
SRC	PRKCD
SRC	HSPA8
SRC	MISP
SRC	CHEK1
DGKG	FGA
RPS23	CDK2
RPS23	RPS14
RPS23	SMG5
BDH1	HSD17B2
CHEK1	CUL4A
CHEK1	CDK2
CDK2	RPS14
CDK2	PSMA1
CDK2	HSPA8
CDK2	STAT5B
CDK2	HSD17B2
CDK2	LARP1
GNAO1	GNA12
GNAO1	NF1
GNAO1	PRKCD
GNAO1	DRD2
TUBB4A	TBCD
TUBB4A	TF
SMG5	RPS14
HSPA8	CUL4A
HSPA8	PSMA1
HSPA8	TF
HSPA8	LARP1
CUL4A	RPS14
DRD2	TF
GNA12	HSD17B2
GNA12	PRKCD
NF1	STAT5B
NF1	PRKCD
STAT5B	PRKCD
STAT5B	FGA
LARP1	RPS14
