#tail	head
PHKG1	SYNJ2
PHKG1	ENTPD8
PHKG1	ENTPD6
CCR5	CD4
CCR5	GNG11
CCR5	CCL7
CCR5	GNB3
MTMR8	SYNJ2
MTMR8	CARM1
MTMR8	PIP4K2B
TRA2B	PUF60
TRA2B	CPSF6
TRA2B	PRPF31
TRA2B	HNRNPK
TRA2B	SNRPA1
TRA2B	PPIE
TRA2B	SNRPF
TRA2B	PRPF4B
GNB3	GPR37L1
GNB3	IGKV2-30
GNB3	RAC1
GNB3	TRAF6
GNB3	PIP4K2B
GNB3	ICOS
GNB3	BDNF
GNB3	FGFR4
GNB3	FGF9
GNB3	ADRB2
GNB3	GNG11
GNB3	CCL7
GNB3	CHRM1
GNB3	CCR3
GNB3	TACR1
GNB3	GRAP2
GNB3	CPSF6
MDH1	SERPINH1
MDH1	NIT2
MDH1	XDH
MDH1	PIH1D1
MDH1	AHCY
MDH1	ENPP1
MDH1	ACTG1
LRRK2	INS
LRRK2	RAC1
LRRK2	BAG3
LRRK2	ACTG1
LRRK2	YWHAQ
IMMT	PIH1D1
IMMT	CANX
IMMT	BAK1
IMMT	ADRB2
IMMT	KIF22
IMMT	VDAC2
IMMT	TOMM22
IMMT	INS
IMMT	EGLN3
HIP1	SYNJ2
HIP1	CD4
HIP1	AHCY
HIP1	ACTG1
HIP1	ADRB2
HIP1	TACR1
HIP1	SERPINH1
HIP1	ARPC1A
RARA	AURKA
RARA	CD4
RARA	NR0B2
RARA	YWHAQ
RARA	INS
RARA	ZEB1
RARA	SNRPF
RARA	RELA
RARA	MCM2
RARA	PIH1D1
RARA	CARM1
RARA	CPSF6
RGPD5	INS
RGPD5	COMTD1
RGPD5	CPNE4
RGPD5	MCM2
INCA1	BAG3
INCA1	ACY3
INCA1	ZEB1
CLEC18B	INS
PIH1D1	KRT8
PIH1D1	HNRNPK
PIH1D1	NPHP1
PIH1D1	VDAC2
PIH1D1	AHCY
PIH1D1	YWHAQ
PIH1D1	CANX
PIH1D1	SERPINH1
PIH1D1	SNRPA1
VDAC2	CD4
VDAC2	ADRB2
VDAC2	CANX
VDAC2	BAK1
VDAC2	EGLN3
VDAC2	TRAF6
VDAC2	INS
FGFR4	FZR1
FGFR4	BDNF
FGFR4	GRAP2
FGFR4	IGKV2-30
FGFR4	FGF9
FGFR4	RAC1
FGFR4	TRAF6
FGFR4	PIP4K2B
FGFR4	ICOS
FGFR4	CPSF6
FGFR4	GNG11
FGFR4	TEAD2
FGFR4	HMGCR
SYNJ2	CD4
SYNJ2	PIP4K2B
SYNJ2	INS
SYNJ2	FCHO2
SYNJ2	ARPC1A
SYNJ2	TACR1
SYNJ2	RAC1
SYNJ2	ADRB2
ACTG1	RAC1
ACTG1	TRAF6
ACTG1	YWHAQ
ACTG1	TRAF1
ACTG1	TNFRSF1A
ACTG1	SERPINH1
ACTG1	NR3C2
ACTG1	AHCY
ACTG1	HNRNPK
ACTG1	ADRB2
ACTG1	ARPC1A
ACTG1	RELA
ACTG1	KRT8
ACTG1	MCM2
XDH	RELA
XDH	TNFRSF1A
XDH	TRAF6
XDH	RAC1
XDH	AOC1
XDH	INS
XDH	BID
CHRM1	BID
CHRM1	GNG11
CHRM1	CCL7
CHRM1	AOC1
CHRM1	ZEB1
NPHP1	DCTN3
NPHP1	FCHO2
NPHP1	WDR41
NPHP1	PKD1
PKD1	INS
PKD1	KRT8
PKD1	AOC1
PKD1	CCL7
PKD1	BID
CCR3	GNG11
CCR3	CCL7
CCR3	ZEB1
RELA	BDNF
RELA	EGLN3
RELA	CARM1
RELA	BID
RELA	YWHAQ
RELA	TRAF1
RELA	TNFRSF1A
RELA	AURKA
RELA	NR0B2
RELA	AHCY
RELA	INS
RELA	TRAF6
RELA	HMGCR
RELA	ZEB1
RELA	FGF9
CAPN7	MAGED1
CAPN7	EGLN3
CAPN7	IST1
ENTPD6	INS
ENTPD6	CANX
ACY3	ACSM2A
TRAF1	ADRB2
TRAF1	TRAF6
TRAF1	GRAP2
TRAF1	TNFRSF1A
TRAF1	INS
CCL7	TACR1
BAG3	BID
BAG3	YWHAQ
BAG3	MAGED1
BAG3	HNRNPK
BAG3	ARPC1A
BAG3	BAK1
CANX	BAK1
CANX	TRAF6
CANX	WDR41
CANX	ADRB2
CANX	EGLN3
CANX	TNFRSF1A
NR3C2	INS
NR3C2	FGF9
NR3C2	EGLN3
NR3C2	ACSL1
NR3C2	DCTN3
MAGED1	GRAP2
MAGED1	EGLN3
EGLN3	CARM1
EGLN3	CNN3
EGLN3	RAC1
EGLN3	AURKA
EGLN3	YWHAQ
EGLN3	SERPINH1
EGLN3	ADRB2
EGLN3	TOMM22
EGLN3	ACSL1
EGLN3	ZEB1
EGLN3	GTF3C2
EGLN3	ANAPC7
ICOS	CPSF6
ICOS	IGKV2-30
ICOS	GRAP2
ICOS	RAC1
ICOS	PIP4K2B
ICOS	FGF9
ICOS	GNG11
PRPF4B	SNRPA1
PRPF4B	SNRPF
PRPF4B	HNRNPK
PRPF4B	PPIE
PRPF4B	INS
PRPF4B	CPSF6
PRPF4B	PUF60
PRPF4B	PRPF31
GPR37L1	CLDN7
GPR37L1	GNG11
FZR1	RRM2
FZR1	ANAPC7
FZR1	AURKA
FZR1	IST1
FZR1	CDC26
FZR1	TEAD2
RAC1	FGF9
RAC1	TNFRSF1A
RAC1	GRAP2
RAC1	GNG11
RAC1	BDNF
RAC1	ARPC1A
RAC1	IGKV2-30
RAC1	TRAF6
RAC1	PIP4K2B
RAC1	INS
RAC1	BID
RAC1	CPSF6
RIOX1	ADRB2
