#tail	head
MAP1LC3C	LAT
ETS2	SMARCB1
ETS2	STAT4
ETS2	POLD4
ETS2	NKAPD1
ETS2	GIT1
ETS2	CSF3R
IFITM3	PRPF40A
IFITM3	FFAR2
IFITM3	HIST1H4A
GRM5	TXLNA
GRM5	IFNW1
GRM5	PRL
GRM5	NGF
GRM5	GNAS
GRM5	GNAI1
PF4V1	GNAI1
PF4V1	CCL4L1
PF4V1	LAT
PF4V1	SLC25A13
CYLD	PARP1
CYLD	DDX17
CYLD	HIST1H4A
CYLD	RPS25
CYLD	CCDC170
CYLD	CACYBP
CYLD	SLC25A13
CYLD	NPM1
HIST1H4A	SMARCB1
HIST1H4A	PAXBP1
HIST1H4A	HIST1H2BD
HIST1H4A	NPM1
HIST1H4A	CBX8
HIST1H4A	PPARA
HIST1H4A	MTA2
HIST1H4A	PARP1
HIST1H4A	MIS18A
HIST1H4A	CHD4
HIST1H4A	HIST1H2AA
HIST1H4A	EYA3
CCDC170	MIS18A
CSF3R	TXLNA
CSF3R	STAT4
CSF3R	IFNW1
EYA3	HIST1H2BD
EYA3	CACYBP
MED24	MED1
MED24	PARP1
MED24	PPARA
TSPAN9	POU6F1
TSPAN9	PPARA
POLD4	MAX
POLD4	MIF
POLD4	PARP1
POLD4	PPARA
PRPF3	TXLNA
PRPF3	DDX17
PRPF3	NKAPD1
PRPF3	CHD4
PRPF3	NRF1
PRPF3	SNW1
PRPF3	PAXBP1
PRPF3	RNF151
PRPF3	PRPF40A
STAT4	NKAPD1
STAT4	RAP1B
STAT4	MIF
STAT4	NSG2
STAT4	POU4F1
MIS18A	MED1
MIS18A	HIST1H2BD
MIS18A	NPM1
MIS18A	TXLNA
RPP25	NPM1
RPP25	MTA2
RPP25	RPS25
DDX27	NPM1
DDX27	KRR1
DDX27	NOP56
DDX27	CHD4
DDX27	HIST1H1T
MBD4	PPARA
MBD4	MAX
ATF4	MAX
ATF4	GNAS
ATF4	NAP1L5
ATF4	SMARCB1
MAX	NRF1
MAX	CHD4
MAX	NPM1
MAX	GNAS
MAX	NOP56
MAX	NKAPD1
MAX	CACYBP
MAX	RPS25
MAX	CBX8
MAX	GIT1
MAX	DDX17
SNW1	SMPDL3B
SNW1	RPS25
SNW1	GNAS
SNW1	PRPF40A
SNW1	NRF1
SNW1	NPM1
SNW1	SMARCB1
SNW1	PAXBP1
SNW1	MTA2
SNW1	SEPHS1
SNW1	GTPBP4
SNW1	DDX17
SNW1	NKAPD1
SNW1	CHD4
NPM1	HIST1H2BD
NPM1	RPS25
NPM1	CBX8
NPM1	GTPBP4
NPM1	DDX17
NPM1	SEPHS1
NPM1	CHD4
NPM1	NRF1
NPM1	NOP56
NPM1	MTA2
NPM1	MED1
NPM1	PARP1
SMARCB1	CHD4
SMARCB1	NRF1
SMARCB1	PARP1
SMARCB1	MTA2
SMARCB1	MED1
PPARA	PARP1
PPARA	SLC25A13
PPARA	DDX17
PPARA	PRL
PPARA	MED1
PPARA	HIST1H1T
MTA2	HIST1H2BD
MTA2	HIST1H2AA
MTA2	CHD4
NAP1L5	MAGEH1
SMPDL3B	PRL
SMPDL3B	SEPHS1
TXLNA	DDX17
TXLNA	DRD3
SLC25A13	LAT
GNAS	SEPHS1
GNAS	RAP1B
GNAS	PRL
GNAS	DRD3
GNAS	ADCY1
GNAS	GNAI1
PARP1	MED1
PARP1	HIST1H2AA
PARP1	DDX17
PARP1	CHD4
PARP1	PRL
PARP1	NRF1
NGF	POU6F1
NGF	DRD3
NGF	FRS2
NGF	MAGEH1
CHD4	RPS25
CHD4	KRR1
CHD4	HIST1H2BD
CHD4	PRPF40A
CHD4	PAXBP1
CHD4	HIST1H2AA
CHD4	MIF
CHD4	DDX17
CHD4	NOP56
CHD4	GTPBP4
MED1	PAXBP1
MED1	PRL
KRR1	HIST1H1T
KRR1	CBX8
KRR1	NOP56
GIT1	SH2B2
GIT1	C8orf33
GIT1	LAT
PRL	ADCY1
PRL	CNR2
PRL	DRD3
LAT	FRS2
DRD3	GNAI1
DRD3	IFNW1
GTPBP4	HIST1H1T
GTPBP4	NOP56
GTPBP4	CBX8
MIF	RNF41
SEPHS1	DDX17
SEPHS1	POU6F1
CCL4L1	GNAI1
CCL4L1	FFAR2
C8orf33	NOP56
CACYBP	RNF41
PRPF40A	DDX17
PRPF40A	NKAPD1
PRPF40A	PAXBP1
SH2B2	MAGEH1
SH2B2	NSG2
NRF1	PAXBP1
RAP1B	FRS2
RAP1B	ADCY1
RAP1B	CNR2
HIST1H2BD	CBX8
HIST1H2BD	HIST1H2AA
NKAPD1	RPS25
NKAPD1	RNF151
CNR2	GNAI1
FFAR2	GNAI1
GNAI1	ADCY1
DDX17	PAXBP1
NOP56	RPS25
POU6F1	POU4F1
