#tail	head
P2RX7	TRIM72
P2RX7	MYBPC1
P2RX7	P2RX3
P2RX7	HSPA1A
ENPP5	MYOD1
ENPP5	HNRNPL
RPS17	NOP58
RPS17	RARA
RPS17	RPL14
RPS17	RPL9
RPS17	SRPRB
RPS17	NOP56
RPS17	RRS1
TPCN1	MYBPC1
TPCN1	MYOD1
TPCN1	TRIM72
RPL14	RPL9
RPL14	RARA
RPL14	SRPRB
RPL14	NOP58
RPL14	NOP56
RPL14	RRS1
INSYN2	NOP56
RPL9	SRPRB
RPL9	NOP58
RPL9	RRS1
RPL9	NOP56
RPL9	RARA
PLGRKT	SRPRB
PLGRKT	DDRGK1
PLGRKT	EMD
RARA	DDX51
RARA	NOP56
RARA	HNRNPL
RARA	RRS1
RARA	MYOD1
SRPRB	DDRGK1
SRPRB	UQCRC1
HNRNPL	EMD
HNRNPL	UQCRC1
P2RX3	TRIM72
P2RX3	MYBPC1
TRIM72	TRPM6
MYO18A	MYOD1
MYO18A	DDX51
MYO18A	SSH2
MYO18A	DDRGK1
NOP56	NOP58
NOP56	RRS1
RRS1	NOP58
MYBPC1	TRPM6
HSPA1A	EMD
SSH2	MYOD1
