#tail	head
NTN4	ITGAV
NTN4	PTK2
CDK12	DDX39B
CDK12	SF3A1
CDK12	TRA2B
CDK12	RBM15
CDK12	PPM1G
RBM15	DDX39B
RBM15	TRA2B
RBM15	PPM1G
RBM15	SF3A1
HNRNPL	CPSF2
HNRNPL	SF3A1
HNRNPL	PTK2
HNRNPL	TRA2B
HNRNPL	UBE2E2
HNRNPL	SP1
HNRNPL	PDHA1
HNRNPL	SPATA6
TRAF7	UBE2E2
IKZF5	SP1
IKZF5	FBXO11
HNRNPH3	PDHA1
HNRNPH3	EEF1G
DDX39B	CPSF2
DDX39B	SP1
DDX39B	PPM1G
DDX39B	SF3A1
DDX39B	TRA2B
FASLG	ITGAV
FASLG	PTK2
FASLG	SP1
FASLG	EIF2AK1
TRA2B	PPM1G
TRA2B	SRPK1
TRA2B	CPSF2
TRA2B	SF3A1
SP1	NF1
SP1	SF3A1
SP1	EEF1G
SP1	FBXO11
SP1	PTK2
SP1	EIF2AK1
SP1	SPATA6
UBE2E2	SRPK1
UBE2E2	FBXO11
UBE2E2	PTK2
NF1	RHOJ
NF1	PDHA1
NF1	PTK2
SRPK1	PPM1G
SRPK1	PTK2
PTK2	ITGAV
PTK2	PDHA1
PTK2	EEF1G
PDHA1	EEF1G
GDI1	RHOJ
GDI1	FBXO11
CPSF2	SF3A1
PPM1G	SF3A1
