#tail	head
CD79A	MGLL
CD79A	ERBB4
TARDBP	LRRC15
TARDBP	SART1
TARDBP	TRIM25
TARDBP	HNRNPR
DUSP21	ARF5
DUSP21	ERBB4
SERPING1	CLDN4
SERPING1	TMEM115
SERPING1	SLC31A1
CCDC15	MEF2A
ERBB4	STAT6
ERBB4	SLC22A9
PPWD1	MAGOHB
PPWD1	SART1
PPWD1	SF3B5
PPWD1	HNRNPR
PPWD1	CWC27
MEF2A	MGLL
MEF2A	C18orf25
SF3B5	MAGOHB
SF3B5	CWC27
SF3B5	HNRNPR
SF3B5	SART1
TRIM25	STAT6
TRIM25	SART1
TRIM25	C18orf25
TRIM25	SLC31A1
TRIM25	HNRNPR
TRIM25	EGFL7
EGFL7	STAT6
LRRC15	RAB11FIP4
MAGOHB	HNRNPR
CWC27	HNRNPR
CWC27	SART1
HNRNPR	USE1
HNRNPR	SART1
CLDN4	SLC31A1
SLC22A9	TMEM115
ARF5	RAB11FIP4
SLC31A1	STAT6
USE1	MGLL
