#tail	head
KDR	EYA4
KDR	SRC
KDR	GATC
KDR	ATP2B4
KDR	IGHG3
KDR	IGHV3-33
KDR	STAT1
GATC	CTAG1B
GATC	CTAG1A
GATC	SARS
NMUR2	ATP2B4
NMUR2	SLC12A6
CTAG1B	BORCS8
CTAG1B	SUOX
SUOX	SLC25A15
SUOX	REL
SUOX	CTAG1A
SUOX	FHOD1
SUOX	PAX4
SYTL3	NRXN1
SYTL3	ANKRD11
IGHG3	ERBB3
IGHG3	TRAT1
IGHG3	SRC
IGHG3	IGHV3-33
SLC12A6	PAX4
SRC	FHOD1
SRC	EYA4
SRC	ANKRD11
SRC	ERBB3
SRC	NAGK
SRC	TRAT1
SRC	STAT1
SRC	ATP2B4
SRC	IGHV3-33
NRXN1	PAX4
NAGK	CHI3L1
NAGK	REL
EYA4	ERBB3
EYA4	SLC25A15
EYA4	STAT1
TRAT1	IGHV3-33
FHOD1	SLC25A15
FHOD1	PAX4
CTAG1A	BORCS8
IGHV3-33	ERBB3
STAT1	SARS
STAT1	ERBB3
STAT1	CHI3L1
