#tail	head
MAPT	MYC
MAPT	TP53
MAPT	BCL2
CLDN4	TRIM59
CLDN4	MYC
CLDN4	HNRNPA2B1
CLDN4	TP53
ZC3H3	SETD1B
ZC3H3	MRPL14
ZC3H3	AHCYL1
ZC3H3	TP53
PLD1	PLA2G1B
PLD1	TP53
PLD1	ING3
BCL2	CYP2E1
BCL2	MYC
BCL2	HIST1H2BK
BCL2	TP53
BCL2	GSTP1
BCL2	CSF3
BCL2	GLI1
ING3	TP53
GSTP1	GLI1
GSTP1	DDI2
GSTP1	TP53
GSTP1	MYC
GSTP1	CYP2E1
GSTP1	EPHX1
GSTP1	NAPG
HNRNPA2B1	METTL14
HNRNPA2B1	TP53
HNRNPA2B1	MYC
HNRNPA2B1	NAPG
TP53	MYC
TP53	NAPG
TP53	CYP2E1
TP53	EPHX1
TP53	GLI1
TP53	CDC14B
TP53	CSF3
TP53	TRIM59
MRPL14	MYC
CSF3	MYC
CSF3	GLI1
CSF3	NAPG
CSF3	DDI2
SEC22A	NAPG
SEC22A	TRIM59
DDI2	METTL14
CDC14B	CBX8
HIST1H2BK	METTL14
HIST1H2BK	MYC
HIST1H2BK	CBX8
HIST1H2BK	SETD1B
CYP2E1	PLA2G1B
CYP2E1	EPHX1
AHCYL1	SETD1B
AHCYL1	MYC
GLI1	MYC
CBX8	MYC
