#tail	head
P4HB	IFNA1
P4HB	NAPG
P4HB	SEPHS1
P4HB	CPSF3
P4HB	EGFR
ABL2	ACTR3
ABL2	EGFR
ABL2	SIVA1
THY1	UBE2I
THY1	FAP
THY1	TFAP2A
DVL2	EGFR
DVL2	ACTR3
DVL2	IRAK1
DVL2	ARPC1A
EGFR	ARPC1A
EGFR	ACTR3
EGFR	IRAK1
EGFR	C9orf3
EGFR	MYH9
EGFR	COG1
EGFR	TRIM28
C9orf3	NOS1
ALAS1	ACSL1
ALAS1	SNX20
DHX8	NCOA3
DHX8	SF3B3
DHX8	ACSL1
FAP	BACH1
NCOA3	MYH9
NCOA3	F2
NCOA3	HCAR3
BACH1	EML3
BACH1	NFE2
F2	HCAR3
F2	IFNA1
COG1	UBE2I
TFAP2A	HCAR3
TFAP2A	UBE2I
SF3B3	TRIM28
SF3B3	CPSF3
MAP2K6	IRAK1
ARPC1A	MYH9
ARPC1A	NAPG
ARPC1A	ACTR3
ARPC1A	SEPHS1
TRIM28	NAPG
TRIM28	UBE2I
TRIM28	SEPHS1
GTF2I	NAPG
GTF2I	SEPHS1
GTF2I	UBE2I
NAPG	SEPHS1
NAPG	CMAS
NAPG	CPSF3
NAPG	MYH9
NAPG	ACTR3
GATA4	NOS1
GATA4	SNX20
SEPHS1	MYH9
SEPHS1	ACTR3
SEPHS1	CMAS
SEPHS1	ACSL1
SEPHS1	CPSF3
NFE2	EML3
NFE2	IRAK1
NFE2	CMAS
SIVA1	IFNA1
MYH9	ACTR3
MYH9	UBE2I
