#tail	head
SLFN11	BARD1
SLFN11	FGFR1OP
SLFN11	NOG
RFX1	FAM107A
GNG3	TAS2R46
GNG3	GNG2
GNG3	GPR83
GNG3	RHOG
GNG3	FGFR1OP
GNG3	GNB5
GNG3	MCHR1
FAM107A	NOG
FAM107A	COMMD1
NOG	IQSEC1
NOG	HIST1H1C
NOG	COMMD1
NOG	BBIP1
NOG	MBTD1
NOG	GNG2
NOG	DLG3
NOG	BBS9
NOG	ATP8B4
NOG	HIST1H1E
NOG	GNB5
SF1	HIST1H4D
SF1	IQSEC1
SF1	HIST1H1C
SF1	MBTD1
BBS9	BBIP1
BBS9	MCHR1
BARD1	COMMD1
BARD1	HIST1H4D
HIST1H1C	HIST1H1E
HIST1H1C	HIST1H4D
TAS2R46	GNB5
TAS2R46	GNG2
SLC17A3	ATP8B4
SLC17A3	DLG3
FGFR1OP	KLC4
FGFR1OP	GNG2
FGFR1OP	GNB5
FGFR1OP	RHOG
KLC4	RHOG
MCHR1	GNB5
MCHR1	BBIP1
MCHR1	GNG2
GPR83	GNG2
GPR83	GNB5
HIST1H4D	MBTD1
HIST1H4D	HIST1H1E
GNG2	RHOG
GNG2	GNB5
HIST1H1E	BBIP1
GNB5	RHOG
