#tail	head
SNAI1	HIST1H3J
SNAI1	UBC
NAT1	SLCO2B1
NAT1	ACAA2
NAT1	GPAT3
NAT1	OGDHL
UBC	HSP90AA1
UBC	FUS
UBC	HIST1H2BE
UBC	HIST1H2BH
HOXB3	HIST1H3J
HOXB3	HIST1H2BE
HOXB3	HIST1H2BH
HIST1H2BE	HIST1H3J
HIST1H2BE	HSP90AA1
HIST1H2BE	CBX8
HSP90AA1	SLCO2B1
HSP90AA1	ACTG2
HSP90AA1	FUS
OGDHL	ACAA2
OGDHL	GPAT3
DDX27	NTM
DDX27	HIST1H3J
PCDHA3	ACTG2
PCDHA3	ATP13A2
CCKBR	NTM
CCKBR	ATP13A2
ACADS	MYO5B
ACADS	ACAA2
ACAA2	GPAT3
ACAA2	MYO5B
FUS	TDRD3
ACTG2	MYO5B
TDRD3	HIST1H2BH
HIST1H3J	HIST1H2BH
HIST1H3J	CBX8
HIST1H2BH	CBX8
