#tail	head
OR51Q1	GNAL
OR51Q1	REEP3
PCSK1	MEF2A
PCSK1	GHRL
GNG11	ADM2
GNG11	HTR1D
GNG11	LTB4R2
GNG11	RRH
GNG11	GNB3
GNG11	GNB4
GNG11	MEF2A
GNG11	GNG2
GNG11	GHRL
GNB3	RRH
GNB3	GNB4
GNB3	GNG2
GNB3	GHRL
GNB3	ADM2
GNB3	HTR1D
GNB3	LTB4R2
OR4C12	GNAL
OR4C12	REEP3
ADM2	GNG2
ADM2	GNB4
RRH	GNG2
RRH	GNB4
MEF2A	CD36
MEF2A	GNB4
GNAL	REEP3
GNAL	GNG2
GNAL	HTR1D
GNB4	LTB4R2
GNB4	GHRL
GNB4	GNG2
GNB4	HTR1D
FASN	NAPA
FASN	SQSTM1
FASN	CD36
FASN	GHRL
GHRL	GNG2
NAPA	SQSTM1
NAPA	LSM14A
SQSTM1	LSM14A
LTB4R2	GNG2
HTR1D	GNG2
