#tail	head
BAG3	POT1
BAG3	OGA
BAG3	NFKBIB
DARS	NME1
DARS	CIAPIN1
DARS	STAU1
DARS	STAT5A
STAT5A	BTRC
STAT5A	RASA1
STAT5A	MAP3K2
NME1	OGA
NME1	MTHFR
NME1	HNF4A
RELA	BTRC
RELA	MAP3K2
RELA	OGA
RELA	NFKBIB
RELA	MTHFR
RELA	KPNB1
MAP3K2	BTRC
MAP3K2	NFKBIB
HNF4A	SSR2
HNF4A	RPL32
HNF4A	CIAPIN1
HNF4A	MTHFR
HNF4A	RASA1
HNF4A	SRPRB
HNF4A	BTRC
HNF4A	OGA
HNF4A	NFKBIB
HNF4A	PDLIM5
HNF4A	KPNB1
HNF4A	PRPF4B
STAU1	SRPRB
STAU1	IGF2BP3
STAU1	KPNB1
STAU1	OGA
STAU1	RASA1
PDLIM5	BTRC
PDLIM5	OGA
PDLIM5	TES
FES	RASA1
FES	POT1
SSR2	RPL32
SRPRB	OGA
SRPRB	NFKBIB
SRPRB	TES
SRPRB	RPL32
BTRC	NFKBIB
BTRC	AFG3L2
PRPF4B	IGF2BP3
CIAPIN1	SETD1A
OGA	RPL32
OGA	TES
OGA	IGF2BP3
OGA	KPNB1
KPNB1	SETD1A
IGF2BP3	SETD1A
