#tail	head
SMURF1	HNRNPAB
SMURF1	SMURF2
SMURF1	PPP2R2B
SMURF1	TMPO
SMURF1	ASH2L
SMURF1	HSPA9
SMURF1	UBTF
OIP5	HIST2H4B
OIP5	HIST1H2BJ
OIP5	CLOCK
OIP5	RNF40
OIP5	FAM161B
OIP5	TMPO
OIP5	MEIS2
OIP5	E2F4
PPP2R2B	RPL12
PPP2R2B	MAP2K1
PPP2R2B	TMPO
PPP2R2B	HSPA9
ACBD6	E2F4
ACBD6	HSPB1
HIST2H4B	PKNOX1
HIST2H4B	CLOCK
HIST2H4B	UBTF
HIST2H4B	ASH2L
HIST2H4B	HIST1H2BJ
HIST2H4B	TBP
HIST2H4B	TMPO
HIST2H4B	NBN
TBP	UBTF
TBP	HIST1H2BJ
TBP	GTF2A2
E2F4	ID3
E2F4	ASH2L
E2F4	TMPO
ATP6V1B2	LAMTOR2
ATP6V1B2	PICK1
UBTF	GTF2A2
UBTF	TMPO
UBTF	HIST1H2BJ
PICK1	PLEKHA7
PICK1	AP2A2
PICK1	FAM161B
MEIS2	NUP58
MEIS2	PKNOX1
MEIS2	GTF2A2
PKNOX1	NUP58
PKNOX1	ASH2L
PKNOX1	HIST1H2BJ
RPL12	TMPO
RPL12	PPIE
NUP58	HSPA9
NUP58	RNF40
NUP58	NUP153
NUP153	IPO5
NUP153	HSPA9
TMPO	PLEKHA7
TMPO	MAP2K1
TMPO	AP2A2
TMPO	HIST1H2BJ
PLEKHA7	HSPA9
PLEKHA7	HNRNPAB
PLEKHA7	AP2A2
PLEKHA7	ASH2L
ASH2L	SMURF2
ASH2L	NBN
ASH2L	HIST1H2BJ
HSPA9	HSPB1
HSPB1	MAP2K1
HSPB1	SMURF2
GTF2A2	SMURF2
GTF2A2	ID3
OFD1	CCDC57
OFD1	NBN
OFD1	IPO5
SMURF2	ID3
MAP2K1	LAMTOR2
CCDC57	FAM161B
RNF40	HIST1H2BJ
AP2A2	PPIE
HIST1H2BJ	NBN
PPIE	NBN
IPO5	NBN
