#tail	head
TXNRD1	HNF4A
TXNRD1	TRIM25
TXNRD1	HIF1A
ITGB8	LIMS1
ITGB8	COL19A1
ITGB8	ITGA2B
ITGB8	ITGAD
SPP2	FAM20C
F2	CHRNA7
F2	PROS1
F2	HIF1A
F2	ITGA2B
COL19A1	ITGA2B
COL19A1	ITGAD
GCC2	STK38L
RUNX1	ITGA2B
RUNX1	CHRNA10
RUNX1	SH3BP5L
RUNX1	LDB1
RUNX1	HIST1H3F
RUNX1	HIF1A
RUNX1	SSBP2
RUNX1	TRIM33
CDC6	NPRL2
CDC6	HNF4A
TRIM25	DHX9
TRIM25	FAM20C
TRIM25	HNF4A
TRIM25	STK38L
IDI2	LDB1
IDI2	SSBP2
SLURP1	CHRNA10
SLURP1	CHRNA7
SLURP1	CHRM4
FAM20C	HNF4A
ITGA2B	CHRNA7
ITGA2B	ITGAD
ITGA2B	LIMS1
ITGA2B	HIST1H3F
SPATS2L	HIST1H3F
SPATS2L	HNF4A
RINT1	TRIM69
RINT1	CHRM4
HIST1H3F	RPL10A
HIST1H3F	STK38L
TRIM33	HIF1A
TRIM33	ZIM2
TRIM33	SSBP2
TRIM33	LDB1
RPL10A	DHX9
DHX9	NPRL2
DHX9	BMP4
BMP4	PROS1
CCDC187	STK38L
SSBP2	LDB1
NPRL2	HNF4A
ZIM2	LIMS1
PROS1	HNF4A
HIF1A	LIMS1
HIF1A	HNF4A
LIMS1	HNF4A
HNF4A	LDB1
