#tail	head
CBX7	MOV10
CBX7	HIST2H3C
CREBBP	SND1
CREBBP	RBBP5
CREBBP	IKBKB
CREBBP	NR4A1
CREBBP	NFATC2
CREBBP	TP53
CREBBP	REL
CREBBP	HIST2H3C
CREBBP	LAMP2
POLA2	TAF1
POLA2	XPO1
POLA2	NR4A1
PIK3R1	GNG4
PIK3R1	HSCB
PIK3R1	TP53
PIK3R1	PTGER3
LAMP2	HSCB
PTGER3	GNG4
PTGER3	REL
TP53	NR4A1
TP53	RBBP5
TP53	IKBKB
TP53	STX5
TP53	MOV10
TP53	XPO1
TP53	TAF1
TP53	REL
SLC25A4	ADCY2
SLC25A4	MOV10
SLC25A4	NR4A1
HSCB	STX5
XPO1	NFATC2
XPO1	NR4A1
XPO1	REL
HIST2H3C	RBBP5
TRAPPC2L	REL
TRAPPC2L	STX5
TRAPPC2L	LHX2
LHX2	TCP11L1
NFATC2	NR4A1
MOV10	TAF1
RBBP5	TAF1
GNG4	REL
GNG4	ADCY2
REL	TAF1
REL	IKBKB
REL	TCP11L1
NR4A1	TAF1
