#tail	head
RBMX	PCBP2
RBMX	YY1
DMWD	USP19
DMWD	GNAZ
PML	TRIM28
PML	ATF2
PML	NCOA3
CPNE7	CATSPERB
CPNE7	DLG4
C1orf122	ATF2
C1orf122	NFIL3
C1orf122	TXLNB
FKBP8	USP19
FKBP8	CLCN1
GNAZ	SLC24A1
SLC8A1	DLG4
SLC8A1	CFB
SLC8A1	CATSPERB
SLC8A1	SLC24A1
ZNF20	TRIM28
ZNF20	TXLNB
PRELID1	NFIL3
PRELID1	ATF2
PRELID1	TRIAP1
ATF2	YY1
ATF2	SFXN1
ATF2	CLCN1
ATF2	ORMDL2
ATF2	NFIL3
ATF2	PLK3
DLG4	SLC24A1
DLG4	ACTN3
DLG4	MED28
HOXD12	ACTN3
HOXD12	TTC19
SFXN1	TTC19
SFXN1	YY1
SFXN1	TRIAP1
SLC24A1	CATSPERB
CLCN1	NFIL3
PCBP2	PTPRC
ACTN3	CATSPERB
MED28	NCOA3
ORMDL2	NFIL3
YY1	NCOA3
PLK3	PTPRC
CFB	NCOA3
