#tail	head
HMOX1	SPTAN1
HMOX1	PDGFA
HMOX1	TNF
HMOX1	NOG
HMOX1	SRC
HMOX1	AKR7A2
PDGFA	CYP1A1
PDGFA	JAK3
SPTAN1	STK4
SPTAN1	TNF
SPTAN1	OGA
HNRNPU	NOG
HNRNPU	WDR36
HNRNPU	EXOSC4
FKBP9	CCT2
PPFIBP1	PBX2
FCF1	EXOSC4
FCF1	DMKN
FCF1	WDR36
DMKN	RBM24
PRKCE	JAK3
PRKCE	CNN1
PRKCE	SRC
PRKCE	NOG
MIB1	FGFR1OP
MIB1	BLM
NOG	STK4
NOG	SLC31A1
NOG	PBX2
NOG	PTPRM
NOG	SP3
NOG	OGA
NOG	PSMD11
SP3	RBM24
SP3	PBX2
SP3	OGA
AKR7A2	TNF
AKR7A2	CYP1A1
FGFR1OP	BLM
STK4	KIF2B
NSL1	CENPC
NSL1	CRNN
CRNN	UTP11
WDR36	WDR43
WDR36	UTP11
CYP1A1	TNF
CYP1A1	RBM12
SRF	RAB30
SRF	SRC
JAK3	PTPRM
JAK3	CCT2
JAK3	CENPC
JAK3	TNF
WDR43	UTP11
CENPC	KIF2B
EXOSC4	UTP11
OGA	CCT2
OGA	RBM12
OGA	UTP11
XPNPEP1	RAB30
SLC31A1	TNF
STK17A	TNF
PTPRM	SRC
SRC	TNF
PSMD11	TNF
TBK1	TNF
