#tail	head
PTH	ALG2
PTH	CXCR3
PTH	HRH1
PTH	NCOR1
CDKN2C	SP1
CDKN2C	STAT1
MYOD1	NCOR1
MYOD1	SP1
MYOD1	STMN2
MYOD1	PPP3CB
AMPH	SH3GL3
AMPH	IL7R
SEC23A	DBN1
SEC23A	SFPQ
SEC23A	STMN2
ALG2	HRH1
ALG2	CXCR3
CHD3	SMARCB1
CHD3	SFPQ
CHD3	SP1
CHD3	HIST2H2BF
CHD3	RPS20
BLOC1S2	TRIML2
BLOC1S2	SP1
BLOC1S2	SH2D4A
STMN2	SP1
SP1	PPP3CB
SP1	DBN1
SP1	CYB5D2
SP1	NCOR1
SP1	SFPQ
NCOR1	HIST2H2BF
NCOR1	SMARCB1
SFPQ	DBN1
SIKE1	TRIML2
SIKE1	STAT1
TRIML2	SH2D4A
SH3GL3	HRH1
SH3GL3	IL7R
PPP3CB	CXCR3
HIST2H2BF	SH2D4A
CYB5D2	SMARCB1
SMARCB1	STAT1
RPS20	IL7R
STAT1	IL7R
HRH1	CXCR3
