#tail	head
FZD4	ARPC2
FZD4	INPP5J
FZD4	ARR3
FZD4	PIP4K2B
FZD4	CLTB
FZD4	BDNF
FZD4	WNT5A
FZD4	AGFG1
EPHB3	PTPN5
EPHB3	CLTB
EPHB3	CDC42
SH3GLB1	AGFG1
SH3GLB1	ARPC2
PTPN5	UPP2
AGFG1	ARPC2
AGFG1	CLTB
AGFG1	PIP4K2B
AGFG1	KIAA0319
AGFG1	WNT5A
AGFG1	INPP5J
CDC42	ARPC2
CDC42	PIP4K2B
CDC42	BDNF
CDC42	NME1
BDNF	PIP4K2B
BDNF	INPP5J
NME1	KIAA0319
NME1	ADCY6
NME1	CMPK2
CMPK2	KIAA0319
KIAA0319	CLTB
KIAA0319	PIP4K2B
KIAA0319	ARPC2
KIAA0319	INPP5J
INPP5J	WNT5A
INPP5J	UPP2
INPP5J	ARPC2
INPP5J	CLTB
INPP5J	PIP4K2B
CLTB	PIP4K2B
CLTB	WNT5A
CLTB	ARPC2
ARR3	WNT5A
ARPC2	WNT5A
ARPC2	PIP4K2B
WNT5A	PIP4K2B
