#tail	head
ONECUT1	TSPAN6
ONECUT1	MYB
ONECUT1	TRPC4AP
TYMP	CSF3
TYMP	TBC1D22B
APP	TMOD1
APP	CSF3
APP	ADA
APP	MCM2
APP	MAPRE2
APP	LRRK2
APP	FN1
STAT4	FN1
STAT4	CSF3
STAT4	TRPC4AP
STAT4	NOG
STAT4	PRR5L
FHL3	TBC1D22B
FHL3	PRR5L
CDKN2A	TMOD1
CDKN2A	MCM2
CDKN2A	HIST1H3E
CDKN2A	NOG
CDKN2A	FN1
FGL1	MAPRE2
FGL1	CSF3
NOG	MOCOS
NOG	FN1
NOG	HIST1H3E
NOG	TMOD1
NOG	MMAB
NOG	MCM2
NOG	LRRK2
NOG	PRR5L
NOG	MYB
NOG	ADA
NOG	SQSTM1
NOG	MAPRE2
CSF3	MCM2
MCM2	HSF1
MCM2	FN1
MCM2	HIST1H3E
MCM2	ADA
HSF1	MAPRE2
HSF1	TSPAN6
MAPRE2	HIST1H3E
ADA	RPRD1B
ADA	SQSTM1
ADA	FN1
ADA	MYB
SQSTM1	TMOD1
SQSTM1	LRRK2
SQSTM1	MOCOS
SQSTM1	RPRD1B
HIST1H3E	LRRK2
HIST1H3E	MYB
FN1	MOCOS
TBC1D22B	LRRK2
RPRD1B	MOCOS
RPRD1B	TMOD1
TMOD1	TRPC4AP
