#tail	head
ATP7B	ICAM1
ATP7B	PRNP
ATP7B	HSPA8
PNMA1	MYB
PNMA1	FOXD4L1
PNMA1	FOXA1
PRNP	TRAP1
PRNP	ICAM1
PRNP	CFTR
H3F3A	MYB
H3F3A	FOXA1
H3F3A	EGR2
H3F3A	ICAM1
H3F3A	HIST1H2BH
H3F3A	HIST1H2BE
PCBP1	HSPA8
PCBP1	FOXA1
PCBP1	NRGN
PCBP1	FLRT3
PCBP1	HSD17B12
PKN2	WDR74
PKN2	VARS
HSD17B12	CFTR
HIST1H2BE	ICAM1
HIST1H2BE	FOXA1
HIST1H2BE	EGR2
HIST1H2BE	SYNE1
HIST1H2BE	HSPA8
HIST1H2BE	TERF1
HIST1H2BE	MYB
NRGN	EGR2
NRGN	MYB
THOC5	WDR74
SYNE1	TERF1
SYNE1	HIST1H2BH
HSPA8	VARS
HSPA8	MYB
HSPA8	CFTR
TERF1	HIST1H2BH
FOXD4L1	GPRASP2
MYB	EGR2
MYB	HIST1H2BH
VARS	FOXA1
GPRASP2	TMEM43
CFTR	TRAP1
CFTR	TMEM43
CFTR	ICAM1
ICAM1	HIST1H2BH
ICAM1	TRAP1
EGR2	FOXA1
EGR2	HIST1H2BH
FOXA1	FLRT3
FOXA1	HIST1H2BH
