#tail	head
HDAC1	HIST1H4J
HDAC1	ADIPOQ
HDAC1	STAT5A
HDAC1	MYOD1
HDAC1	TAF1B
HDAC1	CBX3
HDAC1	STAT5B
SH3GLB1	DNM2
SH3GLB1	SYNGR3
PAPPA	IGFBP2
PAPPA	FOXF2
PAPPA	IGFBP1
PELI2	TRIM32
PELI2	MYOD1
PELI2	VSX1
PELI2	SRPK1
PELI2	FOXF2
PELI2	STAT5A
HSP90AB1	TAB1
HSP90AB1	MYOD1
HSP90AB1	TRIM32
HSP90AB1	DYNC1I1
HSP90AB1	SRPK1
HIST1H4J	TAF1B
HIST1H4J	CFAP300
HIST1H4J	CBX3
MYOD1	POLR3GL
MYOD1	NDRG4
MYOD1	PPARGC1A
MYOD1	STAT5A
MYOD1	SRPK1
POLR3GL	VSX1
USP46	IGFBP1
USP46	CRTC1
USP46	PPARGC1A
PPARGC1A	MED25
PPARGC1A	FOXF2
PPARGC1A	MED27
PPARGC1A	MED7
PPARGC1A	MED6
PPARGC1A	ADIPOQ
PPARGC1A	CRTC1
PPARGC1A	MED26
PPARGC1A	STAT5A
PDGFRA	STAT5B
PDGFRA	VSX1
PDGFRA	SRPK1
PDGFRA	DNM2
PDGFRA	STAT5A
SYNGR3	NDRG4
VSX1	FOXF2
VSX1	STAT5B
FOXF2	DYNC1I1
CFAP300	TAB1
MED26	MED7
MED26	ADIPOQ
MED26	MED6
MED26	MED27
MED26	MED25
TAB1	SLMAP
MED25	MED7
MED25	ADIPOQ
MED25	MED6
MED25	STAT5B
MED25	MED27
SRPK1	TAF1B
CBX3	ADIPOQ
DNM2	DYNC1I1
DNM2	PPIB
IGFBP2	ADIPOQ
ADIPOQ	IGFBP1
ADIPOQ	MED6
ADIPOQ	MED27
ADIPOQ	MED7
MED6	MED7
MED6	MED27
MED27	MED7
STAT5B	STAT5A
PPIB	STAT5A
