#tail	head
RIPK3	TUBA3C
RIPK3	PPP1CC
RIPK3	IKBKB
RIPK3	UBB
TTC30B	TTC30A
TTC30B	NAT14
MFN2	PPP5C
MFN2	UBB
MFN2	IKBKB
MAGOH	HIST1H4K
MAGOH	PRPF6
MAGOH	YWHAQ
MAGOH	RALY
MAGOH	UBB
MAGOH	PTBP3
PTBP3	GTF2A1
PTBP3	RALY
UBB	IKBKB
UBB	PEX1
UBB	YWHAQ
PEX1	THBS3
PRPF6	RALY
NAT14	YAE1
BRAF	YWHAQ
BRAF	PPP5C
MYL7	CACNG6
MYL7	CATSPERB
TUBA3C	YWHAQ
TUBA3C	HIST1H4K
TUBA3C	IKBKB
GTF2A1	PHF23
GTF2A1	BPTF
RALY	HIST1H4K
RALY	YWHAQ
HIST1H4K	THBS3
HIST1H4K	BPTF
HIST1H4K	YWHAQ
HIST1H4K	PPP5C
YWHAQ	PPP5C
YWHAQ	PPP1CC
CACNG6	PPP1CC
BPTF	YAE1
BPTF	PHF23
