#tail	head
APP	SELENBP1
APP	GCLC
APP	HSD17B10
APP	BTK
APP	ECH1
APP	GNG8
APP	DMTN
APP	C16orf78
APP	TRIM25
APP	ACADL
APP	RAB9B
APP	SHMT2
APP	APOC3
APP	SLC31A1
GCLC	AASS
GCLC	TAT
GCLC	JUP
GCLC	TH
GCLC	SLC31A1
GCLC	GOT1
BTK	PAX4
BTK	PTPN5
BTK	GNG8
TAT	TH
TAT	GOT1
TAT	AASS
KRT8	SELENBP1
KRT8	SLC31A1
SHMT2	GOT1
SHMT2	DMTN
SHMT2	DEGS1
GOT1	SELENBP1
GOT1	AASS
GOT1	TH
GOT1	SLC31A1
GOT1	RAE1
TUBA8	ECH1
TUBA8	ACADM
TUBA8	HSD17B10
TUBA8	ACADL
APOC3	SLC31A1
APOC3	SELENBP1
APOC3	PTPN5
AASS	ACADM
RAE1	XPOT
NAA40	TRIM25
NAA40	XPOT
DMTN	PAX4
DEGS1	TMEM206
DEGS1	ACADM
ECH1	XPOT
ECH1	JUP
PAX4	JUP
PAX4	CA4
ACADL	HSD17B10
ACADL	ACADM
ACADM	ATP9A
TRIM25	JUP
TRIM25	SLC31A1
TRIM25	XPOT
SLC31A1	SELENBP1
CA4	ATP9A
JUP	HSD17B10
TMEM206	RAB9B
