#tail	head
ATXN2L	NAPA
ATXN2L	NCOR2
ATXN2L	TRIM25
ADRB2	GRB2
ADRB2	NCOR2
ADRB2	RAN
WDR4	HIST1H4J
WDR4	TRIM25
WDR4	XPNPEP1
HIST1H4J	HIST1H3D
HIST1H4J	POU2F1
HIST1H4J	TRIM25
HIST1H4J	DCN
HIST1H4J	POLR2L
HIST1H4J	H2AFV
HIST1H4J	RPA2
HIST1H4J	NCOR2
HIST1H4J	CAND1
HIST1H4J	SIRT6
HIST1H4J	KMT2A
HIST1H4J	GRB2
HIST1H4J	CHD4
HIST1H4J	RAN
RAN	SMAD1
RAN	KMT2A
RAN	HIST1H3D
BMS1	CHD4
BMS1	HIST1H3D
BMS1	FBL
BMS1	DDX47
RPA2	TRIM25
RPA2	POU2F1
RPA2	CHD4
RPA2	NAPA
RPA2	RTRAF
RPA2	FBL
RPA2	POLR2L
DCN	KMT2A
DCN	POU2F1
DCN	NCOR2
PITX3	REPIN1
XPNPEP1	REPIN1
XPNPEP1	TRIM25
XPNPEP1	MAPK9
XPNPEP1	H2AFV
SMAD1	MAPK9
SMAD1	SEMA4A
H2AFV	SIRT6
H2AFV	KMT2A
H2AFV	HIST1H3D
H2AFV	POU2F1
H2AFV	TRIM25
H2AFV	CHD4
H2AFV	POLR2L
H2AFV	CAND1
DDX47	CHD4
DDX47	TRIM25
DDX47	FBL
DDX47	CAND1
DDX47	CEP290
MAPK9	GRB2
MAPK9	TRIM25
MAPK9	SORT1
HIST1H3D	SIRT6
HIST1H3D	KMT2A
HIST1H3D	POU2F1
HIST1H3D	KDM3A
HIST1H3D	POLR2L
HIST1H3D	NCOR2
HIST1H3D	REPIN1
HIST1H3D	GRB2
HIST1H3D	CHD4
PHF6	FBL
PHF6	POU2F1
PHF6	CHD4
PHF6	CAND1
CEP290	CAND1
FBL	CHD4
FBL	TRIM25
FBL	REPIN1
POU2F1	POLR2L
POU2F1	PATZ1
POU2F1	TRIM25
POU2F1	NCOR2
REPIN1	RTRAF
REPIN1	CAND1
REPIN1	SEMA4A
REPIN1	KMT2A
REPIN1	CHD4
GRB2	KRT33B
GRB2	TRIM25
TRIM25	RTRAF
TRIM25	POLR2L
TRIM25	CAND1
TRIM25	SIRT6
TRIM25	NCOR2
TRIM25	CHD4
KDM3A	RTRAF
KDM3A	SORT1
KRT33B	PATZ1
SIRT6	CHD4
SIRT6	PATZ1
SIRT6	PCDH7
PATZ1	CHD4
RTRAF	CAND1
KMT2A	CHD4
