#tail	head
TPP2	PSMA5
TPP2	CDK2
RUNX2	MYCN
RUNX2	DPYSL5
DPYSL5	HSPA8
PPP6C	HSPA1B
PPP6C	HSP90AA1
PPP6C	PSMA5
PPP6C	HSPA8
SCMH1	MAPK11
SCMH1	HSPA1B
SCMH1	PTEN
DCD	HSPA1B
DCD	APOE
DCD	CDC42BPB
DCD	KRT16
DCD	CDK2
HSP90AA1	MAPKAPK2
HSP90AA1	FGF6
HSP90AA1	PTEN
HSP90AA1	HSPA1B
HSP90AA1	HSPA8
HSP90AA1	ROCK2
HSP90AA1	PXN
HSP90AA1	CDK2
HSP90AA1	SMN2
ROCK2	HSPA8
ROCK2	DNAJB11
ROCK2	PTEN
KRT16	APOE
KRT16	HNRNPM
KRT16	KRT78
KRT16	HSPA1B
HSPA1B	PTEN
HSPA1B	DNAJB11
HSPA1B	HSPA8
HSPA1B	CDK2
HSPA1B	SMN2
HSPA1B	APOE
HSPA1B	MAPKAPK2
MAPK11	MAPKAPK2
MAPK11	MAP2K6
MAP2K6	MAPKAPK2
MAP2K6	PTEN
HSPA8	PXN
HSPA8	CDK2
HSPA8	SMN2
HSPA8	DNAJB11
HSPA8	PTEN
HSPA8	APOE
HSPA8	HNRNPM
PSMA5	CDK2
PTEN	PXN
KRT78	CDC42BPB
APOE	SMN2
MYCN	CDK2
MYCN	FGF6
CDK2	HNRNPM
HNRNPM	PXN
HNRNPM	SMN2
DNAJB11	SMN2
