#tail	head
FGF20	INPPL1
FGF20	GNGT2
FGF20	YES1
FGF20	IL6
INPPL1	GAPDH
INPPL1	YES1
INPPL1	INS
INPPL1	NECAP1
INPPL1	GNGT2
INPPL1	HSPA7
KCNH2	NKAIN1
KCNH2	HSPA7
KCNH2	INS
S100A3	IL6
S100A3	CA1
DCTN1	INS
DCTN1	AKTIP
NECAP1	REL
NECAP1	INS
TP53BP2	RASSF9
TP53BP2	INS
TP53BP2	YES1
GAPDH	REL
GAPDH	AKTIP
GAPDH	RPL5
GAPDH	INS
GAPDH	NKAIN1
GAPDH	CA1
GAPDH	IL6
IL6	SLC47A2
IL6	VTN
IL6	INS
IL6	CA1
AKTIP	HSPA7
RPL5	INS
RPL5	HARS
GNGT2	YES1
GNGT2	REL
REL	INS
REL	SLC44A1
AZGP1	RASSF9
AZGP1	INS
AZGP1	SLC47A2
HARS	THUMPD1
CA1	VTN
CA1	INS
SLC44A1	INS
SLC44A1	NKAIN1
SLC47A2	VTN
SLC47A2	INS
THUMPD1	THUMPD3
VTN	INS
