#tail	head
MAPK14	CDKN1A
MAPK14	GADD45A
FATE1	USP20
FATE1	CERS4
TRPS1	MCM6
TRPS1	TEAD2
MCM6	UBE3A
MCM6	HSPA1B
MCM6	PLK1
HIST1H2AI	HDAC8
HIST1H2AI	USP16
HIST1H2AI	GADD45A
PLK1	USP20
PLK1	HSPA1B
PLK1	KIF23
PLK1	GADD45A
PLK1	USP16
CDKN1A	SMAD2
CDKN1A	GADD45A
CDKN1A	HSPA1B
CDKN1A	HNRNPK
TTR	GSN
TTR	APOC3
TTR	HSPA1B
TTR	AGPAT1
TTR	SLC31A1
TTR	DICER1
TTR	SCO2
HOXD13	SMAD2
HOXD13	TEAD2
USP16	UBE3A
HBA1	HSPA1B
HBA1	SLC31A1
HBA1	CD86
HBA1	UBE3A
HBA1	SCO2
GRM3	CD86
HDAC8	AGPAT1
HDAC8	HSPA1B
HDAC8	CERS4
HDAC8	SMAD2
DICER1	GSN
DICER1	HSPA1B
DICER1	SLC31A1
DICER1	APOC3
MICAL1	GADD45A
MICAL1	SERHL2
MLX	PKLR
MLX	AGPAT1
AGPAT1	APOC3
RNPC3	SMAD2
KIF23	PKLR
SLC31A1	GSN
SLC31A1	APOC3
SLC31A1	HNRNPK
SLC31A1	SCO2
HNRNPK	SCO2
GSN	HSPA1B
GSN	APOC3
GSN	SCO2
UBE3A	SERHL2
UBE3A	HSPA1B
SMAD2	HSPA1B
SCO2	APOC3
