#tail	head
API5	HIST1H3J
API5	HIST1H3B
STRN	PDCD10
SEC61B	RNF4
SEC61B	RPN2
SEC61B	ACTN4
SEC61B	SSR4
SEC61B	SFPQ
PSIP1	MEN1
PSIP1	HIST1H3B
PSIP1	HIST1H3J
PSIP1	RNF4
PSIP1	KHSRP
COL9A1	ACTN4
COL9A1	SERPINH1
RPN2	SSR4
RPN2	RNF4
RNF4	SSR4
RNF4	SFPQ
RNF4	HIST1H3B
RNF4	ACTN4
RNF4	HIST1H3J
RNF4	RAD18
RNF4	SERPINH1
KHSRP	MEN1
KHSRP	SERPINH1
KHSRP	SFPQ
PDCD10	CLNS1A
SFPQ	ACTN4
SFPQ	SERPINH1
SFPQ	CLNS1A
SFPQ	SSR4
HIST1H3B	PYGO1
HIST1H3B	RFC3
HIST1H3B	MEN1
HIST1H3B	RAD18
MEN1	PYGO1
MEN1	HIST1H3J
RFC3	HIST1H3J
RFC3	RAD18
HIST1H3J	PYGO1
HIST1H3J	RAD18
CLNS1A	SERPINH1
SERPINH1	ACTN4
ACTN4	RAD18
