#tail	head
MTF1	CHD4
MTF1	ADGRL1
MTF1	RPS19
CYP4F2	AKR1C1
CYP4F2	SRD5A3
CYP4F2	AKR1B1
CYP4F2	GRHPR
GNPDA1	AKR1B1
GNPDA1	SAFB
GNPDA1	INS
HEY1	CCT6A
HEY1	E2F1
HEY1	RPS19
AGTRAP	FGA
AGTRAP	MAPK1
AGTRAP	AGTR1
GRHPR	NADK
GRHPR	SRD5A3
GRHPR	AKR1B1
MAPK1	AKR1B1
MAPK1	INS
MAPK1	SAFB
MAPK1	FGA
MAPK1	VDR
MAPK1	EDN2
MAPK1	JAK3
MAPK1	AGTR1
AKR1C1	NADK
AKR1C1	INS
AKR1C1	VDR
AKR1C1	AKR1B1
AKR1C1	SRD5A3
NADK	SRD5A3
NADK	AKR1B1
KITLG	INS
KITLG	JAK3
KITLG	CMA1
KITLG	AGTR1
EDN2	CMA1
EDN2	AGTR1
ADGRL1	VDR
SNX27	INS
SNX27	FGA
SRD5A3	AKR1B1
VDR	INS
FGA	INS
SAFB	CHD4
SAFB	CCT6A
SAFB	E2F1
CCT6A	JAK3
AKR1B1	INS
RPS19	CHD4
RPS19	E2F1
E2F1	CHD4
CHD4	INS
INS	AGTR1
