#tail	head
PTPN11	MAP3K5
PTPN11	OTC
REPIN1	CBFA2T3
REPIN1	ANXA6
REPIN1	MYL3
REPIN1	MAP3K5
ELF1	IKBKB
ALDH1A3	PXYLP1
ALDH1A3	NR6A1
PXYLP1	OTC
CDX2	PHF21A
CDX2	NR6A1
CDX2	MNT
TPCN2	MYL3
TPCN2	BMPR1A
TPCN2	ANXA6
TPCN2	ATP2B1
BMPR1A	PSMC1
RPL18	MRPL17
RPL18	MAX
RPL18	MKI67
RPL18	ANXA6
MNT	MAX
MRPL17	MKI67
MAX	RBL1
MAX	PTPRF
MAX	PHF21A
MAX	CBFA2T3
MAX	NR6A1
MAX	MAP3K5
HIST1H3E	PHF21A
HIST1H3E	RBL1
HIST1H3E	MKI67
CBFA2T3	MYL3
PSMC1	RBL1
PSMC1	MAP3K5
PTPRF	OTC
ANXA6	ATP2B1
ATP2B1	OTC
ATP2B1	MYL3
RBL1	IKBKB
MYL3	NR6A1
