#tail	head
MID2	TRPV6
MID2	GOLGA2
MID2	ZNF669
MID2	KRT31
MID2	REL
KRT31	FN1
KRT31	WHAMMP3
SLC31A2	FN1
SLC31A2	NOG
SLC31A2	GCLC
SLC31A2	SERPINA1
SLC31A2	ITIH2
SLC31A2	HRG
TRPV6	SERPINA1
TRPV6	ITIH2
TRPV6	HRG
TRPV6	GCLC
TRPV6	KRT16
TRPV6	FN1
TRPV6	ADRA1D
GRIN2B	CAMK2N1
GRIN2B	CRX
CRX	FOXA1
CRX	JMJD1C
CAMK2N1	NOG
ZNF669	CABP5
NOG	JMJD1C
NOG	GRK5
NOG	FN1
NOG	GCLC
NOG	PDE4B
CABP5	REL
GRK5	ADRA1D
GRK5	REL
GOLGA2	JMJD1C
GOLGA2	TCL1A
GOLGA2	SERPINA1
HRG	FN1
HRG	GCLC
REL	TCL1A
PDE4B	KRT16
PDE4B	FN1
PDE4B	NME5
KRT16	GCLC
KRT16	WHAMMP3
KRT16	FN1
NME5	GCLC
FN1	SERPINA1
FN1	GCLC
FN1	ITIH2
FN1	FOXA1
ITIH2	ADRA1D
ITIH2	GCLC
FOXA1	SERPINA1
SERPINA1	GCLC
