#tail	head
DMRT2	ESRRA
LEF1	NOG
LEF1	LRCH2
LEF1	NF1
LEF1	GLYR1
LEF1	WNT8A
LEF1	YWHAQ
LEF1	AES
LEF1	FER1L6-AS1
MIS18A	NOG
ESRRA	FZD9
ESRRA	UBE2K
ESRRA	NOG
ESRRA	SPTB
ESRRA	TSSK3
ESRRA	KNG1
UBE2K	UBE2N
UBE2K	UBE4A
UBE2K	SH3RF1
UBE2K	GLYR1
SPTB	YWHAQ
SPTB	LMO2
SIK1	YWHAQ
AES	NOG
AES	TSSK3
AES	LMO2
TSSK3	LMO2
TSSK3	GLYR1
DRD4	INS
DRD4	NOG
DRD4	WNT1
IP6K1	UBE4A
IP6K1	RBX1
NOG	WNT8A
NOG	EPB41L2
NOG	SH3RF1
NOG	CSTA
NOG	MBIP
NOG	RASSF10
NOG	ZNF655
NOG	NF1
NOG	LMO2
NOG	IP6K3
FER1L6-AS1	NF1
LMO2	TACC1
FZD9	INS
FZD9	WNT1
FZD9	WNT8A
FZD9	KNG1
LRCH2	RASSF10
LRCH2	INS
SH3RF1	UBE2V2
UBE2N	RBX1
TACC1	INS
ZNF655	LCE3C
ZNF655	IP6K3
KNG1	INS
KNG1	RBX1
RASSF10	CSTA
UBE4A	UBE2V2
RBX1	NF1
EPB41L2	YWHAQ
