#tail	head
GLI1	HIST1H4D
GLI1	HIST4H4
POMP	PSMB1
POMP	FOXR2
RPS11	SMG5
RPS11	CDK2
RPS11	CDC37
RPS11	WRAP73
RPS11	TCOF1
HSPH1	HIST1H4D
HSPH1	HIST4H4
HSPH1	RPRD1B
HSPH1	GABARAPL1
LYN	SHC1
LYN	CDC25C
LYN	CDK2
LYN	CASP3
LYN	INPP5B
MORF4L2	DMAP1
MORF4L2	FOXR2
MORF4L2	HIST1H4D
MORF4L2	HIST4H4
PSMD3	WRAP73
PSMD3	PSMB1
PSMD3	CDK2
GABARAPL1	HIST4H4
GABARAPL1	PSMB1
GABARAPL1	PPARA
GABARAPL1	HIST1H4D
CDK2	PSMB1
CDK2	WRAP73
CDK2	HIST1H4D
CDK2	TCOF1
CDK2	SNRPA
CDK2	CASP3
CDK2	PELP1
CDK2	CDC25C
CDK2	CDC37
CDK2	HIST4H4
CDK2	HIST1H1A
CASP3	SHC1
CASP3	MFGE8
CASP3	PPARA
RPRD1B	PPARA
RPRD1B	MFGE8
RPRD1B	TCOF1
RPRD1B	PSMB1
SMARCB1	SOX2
SMARCB1	HIST1H4D
SMARCB1	PSMB1
SMARCB1	HIST4H4
PSMB1	WRAP73
PELP1	SOX2
PELP1	HIST1H4D
PELP1	SHC1
PELP1	HIST1H1A
PELP1	HIST4H4
CDC25C	CDC37
CDC25C	SHC1
DMAP1	FOXR2
DMAP1	HIST4H4
DMAP1	HIST1H1A
DMAP1	SOX2
DMAP1	HIST1H4D
CDC37	SHC1
INPP5B	SHC1
LSM6	CTNNBL1
LSM6	SOX2
LSM6	SNRPA
HIST1H1A	HIST1H4D
HIST1H1A	HIST4H4
PPARA	HIST1H4D
PPARA	HIST4H4
PPARA	SMG5
CTNNBL1	HIST4H4
CTNNBL1	HIST1H4D
CTNNBL1	SNRPA
