#tail	head
GNAQ	GNG10
GNAQ	FSHB
GNAQ	BMP2
GNAQ	GNB3
GNAQ	GNG7
DRG1	PRCC
GNB3	GNG10
GNB3	GNG5
GNB3	FSHB
GNB3	QRFPR
GNB3	BMP2
GNB3	GNG7
GNB3	AKT2
GNB3	ADCY6
GATA1	SERTAD4
GATA1	ADCY6
GATA1	USP15
GNG7	FSHB
GNG7	ADCY6
GNG7	AGT
AGT	TP53
AGT	FSHB
AGT	GNG10
RCOR1	TP53
RCOR1	FSHB
RCOR1	BMP2
ZNF610	CDC37
GNG5	AKT2
GNG5	ADCY6
GNG5	CDC37
GNG5	FSHB
CCNB2	NUP37
CCNB2	TP53
CCNB2	SKA2
CCNB2	CDC25C
FSHB	TP53
FSHB	SCGB2A1
FSHB	BMP2
TP53	BMP2
TP53	CDC25C
TP53	CCAR1
CBX5	SCGB2A1
SERTAD4	ZFP1
CDC25C	CDC37
KRT16	GNG10
SKA2	NUP37
SKA2	ERCC6L
SKA2	CENPC
MIDN	ERCC6L
GNG10	KRT34
GNG10	AKT2
GNG10	ADCY6
SNRPE	NUP37
SNRPE	CDC37
SNRPE	CCAR1
CDC37	CCAR1
CDC37	AKT2
CDC37	USP15
CENPC	ERCC6L
KRT81	USP15
USP15	KRT34
BMP2	GREM1
