#tail	head
PHF10	ACTB
PHF10	OGA
TUBB4A	TUBB
TUBB4A	ACTB
TUBB4A	AURKA
TUBB4A	CCT3
ACTB	TUBB
ACTB	SKI
ACTB	NEDD8
ACTB	CCT3
ACTB	MDM2
C17orf102	CCT3
C17orf102	HIF1A
PRCP	GPR37L1
HIF1A	NEDD8
HIF1A	MDM2
HIF1A	AURKA
HIF1A	TP73
HSPA6	SKI
HSPA6	NEDD8
HSPA6	GPR37L1
RNF14	UBE2D2
RNF14	OGA
PCNA	SKI
PCNA	NEDD8
PCNA	OGA
PCNA	MDM2
MAGEA2B	MDM2
MAGEA2B	TUBB
MAGEA2B	TP73
MDM2	NEDD8
MDM2	AURKA
MDM2	MAGEA2
MDM2	TUBB
MDM2	TP73
MDM2	UBE2D2
MDM2	OGA
OGA	TUBB
OGA	CCT3
TP73	MAGEA2
TP73	AURKA
CCT3	SKI
CCT3	TUBB
TUBB	SKI
TUBB	NEDD8
TUBB	AURKA
TUBB	MAGEA2
SKI	AURKA
NEDD8	UBE2D2
