#tail	head
NETO2	AIMP2
NETO2	TMPRSS3
IRF1	PRR7
IRF1	RBCK1
IRF1	PSME2
IRF1	HMGA1
FBXW7	PSME2
FBXW7	PRR7
HMGA1	TMPRSS3
HMGA1	PRICKLE1
NTF3	FZD2
NTF3	UBP1
UTP14C	PRICKLE1
UTP14C	CCDC57
PRICKLE1	PSME2
PRICKLE1	UBP1
UBP1	BCAR1
HERC2	SCO2
HERC2	EIF3M
FCHO1	TF
FCHO1	ZNF785
SCO1	TF
SCO1	TAC3
SCO1	KRT9
SCO1	SCO2
LDHB	NME1-NME2
LDHB	SEC24C
LDHB	NME3
GNAT1	GUCY2D
GNAT1	GMPR
GUCY2D	NME3
TAC3	SCO2
TAC3	FZD2
PRR7	ZNF785
CCDC57	ZNF785
NADSYN1	AIMP2
NADSYN1	NME1-NME2
NADSYN1	GMPR
NADSYN1	NME3
KRT9	SCO2
KRT9	SLC39A8
BCAR1	FMNL3
BCAR1	TAOK2
TF	SLC39A8
TF	SCO2
SLC39A8	TAOK2
NME3	NME1-NME2
EIF3M	SEC24C
SEC24C	AIMP2
