#tail	head
AXIN1	DVL1
AXIN1	PSMA2
AXIN1	LHX4
AXIN1	PSMC6
AXIN1	SMAD2
AXIN1	SMAD3
C5	CYBB
LGALS3	JUN
LGALS3	CYBB
RELA	SMAD2
RELA	SMAD3
RELA	PSMC6
RELA	DDX1
RELA	HIST1H1C
RELA	HIST1H4K
RELA	PSMD7
RELA	MPO
CHEK1	MAD2L1
CHEK1	NBN
POU1F1	JUN
POU1F1	LHX4
CD247	HIST1H4K
CD247	RFC4
CD247	IGLC2
CD247	JUN
CD247	DVL1
CD247	FGF23
CD247	RALY
CYBB	MPO
SKIL	PSMD7
MAD2L1	PSMD7
SGF29	RALY
SGF29	PSMD7
SGF29	DDX1
SGF29	HIST1H1C
PRKCA	IGLC2
PRKCA	KDR
FGF23	SMAD3
FGF23	IGLC2
HIST1H1C	NAPG
HIST1H1C	HIST1H4K
HIST1H1C	ZNF22
DVL1	SMAD2
DVL1	FZD3
DVL1	KDR
RALY	JUN
RALY	DDX1
DDX1	RFC4
DDX1	SMAD2
DDX1	NAPG
PPARA	MPO
PPARA	HIST1H4K
PPARA	JUN
IGLC2	KDR
UCP1	KDR
PSMD7	JUN
NBN	HIST1H4K
SMAD2	JUN
SMAD2	RPS3A
RFC4	JUN
RPS3A	JUN
JUN	HIST1H4K
