#tail	head
XBP1	ATF2
XBP1	DDX11
XBP1	TGFB1
XBP1	EXTL3
XBP1	BID
XBP1	REEP3
SLC35F6	MBD2
SLC35F6	ATF2
SLC35F6	TTC30B
RRP1	RPS2
RRP1	RIOK1
NAXD	BCL6
NAXD	OTC
NAXD	SUCLG2
NAXD	MTHFD1
TUBB1	CCT2
TUBB1	OTC
TUBB1	RPS2
TUBB1	CFTR
TUBB1	DOCK5
COX15	SAP18
COX15	RRP12
RPS2	EXOSC9
RPS2	RIOK1
RPS2	SMN1
RPS2	RPS20
RPS2	RRP12
RPS2	PIH1D1
RPS2	ANP32E
RPS2	DDX3X
OR5M11	REEP3
OR5M11	REEP6
OR5M11	RTP5
OR5M11	REEP2
OR5M11	RTP2
SAP18	NFIA
SAP18	DDX3X
SAP18	HIST1H3E
HDAC6	CFTR
HDAC6	DOCK5
HDAC6	HSPA8
HDAC6	TBC1D16
HDAC6	DDX3X
HDAC6	PIH1D1
HDAC6	HIST1H3E
A4GALT	LFNG
A4GALT	EXTL3
A4GALT	B4GAT1
A4GALT	ENTPD5
A4GALT	B4GALNT1
A4GALT	PIGY
ENTPD5	MTHFD1
ENTPD5	SUCLG2
ENTPD5	PIGY
ENTPD5	B4GALNT1
ENTPD5	OTC
ENTPD5	B4GAT1
ENTPD5	EXTL3
B4GALNT1	LFNG
B4GALNT1	PIGY
B4GALNT1	EXTL3
B4GALNT1	B4GAT1
MTHFD1	OAS2
MTHFD1	CFTR
MTHFD1	TNFRSF10D
MTHFD1	SUCLG2
MTHFD1	GLDC
MTHFD1	OTC
MTHFD1	PIH1D1
MTHFD1	HSPA8
MTHFD1	SNRNP70
DOCK5	HSPA8
DOCK5	WDR19
DOCK5	CCT2
DOCK5	DDX11
PIH1D1	CBX3
PIH1D1	RPS20
PIH1D1	HSPA8
PIH1D1	DDX3X
PIH1D1	CCT2
PIH1D1	EXOSC9
PIH1D1	RRP12
MBD2	TGFB1
MBD2	HIST1H3E
ACSM4	OAS2
ACSM4	SUCLG2
PDCD5	YAF2
PDCD5	CCT2
REEP2	OR9A4
REEP2	OR52J3
REEP2	OR1F12
B4GAT1	LFNG
B4GAT1	EXTL3
B4GAT1	PIGY
TFDP1	CBX3
TFDP1	MCL1
TFDP1	YAF2
TFDP1	RPS20
TFDP1	ANP32E
TTC30B	WDR19
TTC30B	HSPA8
OR52J3	REEP3
OR52J3	REEP6
OR52J3	RTP5
OR52J3	RTP2
CCT2	THOC3
CCT2	RIOK1
CCT2	CFTR
CCT2	PPP2CB
CCT2	LFNG
CCT2	TGFB1
CCT2	ATF2
BCL6	GOLGA2
BCL6	POU2F3
BCL6	ATF2
TNFRSF10D	SENP2
PIGY	LFNG
PIGY	EXTL3
RTP5	OR1F12
RTP5	OR9A4
RTP5	GOLGA2
CFTR	TGFB1
CFTR	PPP2CB
CFTR	SUCLG2
CFTR	MVP
CFTR	PDGFB
CFTR	HSPA8
LFNG	EXTL3
RRP12	PDGFB
RRP12	HIST1H3E
RRP12	GOLGA2
SUCLG2	RIOK1
SUCLG2	OTC
SUCLG2	SLC25A15
TBC1D16	KRTAP3-2
TGFB1	PDGFB
TGFB1	ATF2
TGFB1	DDX3X
TGFB1	PDGFRL
TGFB1	SDR16C5
TGFB1	BID
TGFB1	HSPA8
TGFB1	CBX3
TGFB1	MCL1
TGFB1	SDC4
ARL2BP	OAS2
ARL2BP	WDR19
GLDC	SNRNP70
GLDC	SDC4
GLDC	SMN1
PDGFRL	PDGFB
PDGFRL	PPP2CB
SDC4	DDX3X
SDC4	MVP
SDC4	HSPA8
SDC4	SMN1
SDC4	SNRNP70
SDC4	PPP2CB
OTC	SLC25A15
ANP32E	FYTTD1
ANP32E	HIST1H3E
YAF2	HSPA8
YAF2	RPS20
YAF2	CBX3
MCL1	BID
MCL1	HSPA8
FYTTD1	THOC3
EXOSC9	HIST1H3E
OR1F12	REEP3
OR1F12	REEP6
OR1F12	RTP2
CENPN	NUP160
CENPN	PPP2CB
CENPN	ATF2
OR9A4	RTP2
OR9A4	REEP3
OR9A4	REEP6
NFIA	SDR16C5
NFIA	HIST1H3E
HSPA8	HIST1H3E
HSPA8	CBX3
HSPA8	SMN1
HSPA8	SNRNP70
HSPA8	MVP
HSPA8	DDX3X
HSPA8	NUP160
SDR16C5	SENP2
SDR16C5	BID
NUP160	PPP2CB
NUP160	SMN1
SNRNP70	DDX3X
SNRNP70	SMN1
SNRNP70	MVP
SNRNP70	PPP2CB
SNRNP70	THOC3
SNRNP70	HIST1H3E
SNRNP70	RIOK1
DDX3X	THOC3
DDX3X	ATF2
DDX3X	SMN1
DDX3X	RIOK1
CBX3	HIST1H3E
CBX3	ATF2
GOLGA2	ATG9A
GOLGA2	MVP
SENP2	ATF2
ATF2	HIST1H3E
KRTAP3-2	ATG9A
RIOK1	HIST1H3E
RIOK1	RPS20
RIOK1	PPP2CB
PDGFB	BID
HIST1H3E	RPS20
REEP6	RPS20
SMN1	MVP
SMN1	PPP2CB
