#tail	head
POU3F4	ZEB1
POU3F4	FOXA2
POU3F4	CUX1
INF2	ANLN
INF2	GAK
INF2	MYO18A
TPCN1	GNAI2
TPCN1	VDAC3
TPCN1	PYGB
TPCN1	TMOD4
HIST1H2BM	CENPM
HIST1H2BM	RAD51
HIST1H2BM	JUN
HIST1H2BM	RPA2
HIST1H2BM	FOXA1
HIST1H2BM	SIRT1
NT5C1A	CA4
NT5C1A	PYGB
SPATA19	MFF
SPATA19	VDAC3
ZEB1	FOXA2
ZEB1	FOXA1
ZEB1	DIO2
ZEB1	REPS2
ZEB1	SP6
ZEB1	HNF1B
ZEB1	SIRT1
ZEB1	MYO18A
ZEB1	PIK3R1
ZEB1	DLL4
ZEB1	TRIM52
SP6	GATA4
SP6	MYO18A
SP6	CUX1
PTPRK	PYGB
PTPRK	BLK
PTPRK	SP3
PTPRK	EPHA6
PTPRK	PIK3R1
PTPRK	EPHB3
SGPL1	JUN
SGPL1	VSIG4
SGPL1	VDAC3
DUSP21	BLK
DUSP21	EPHB3
DUSP21	EPHA6
DUSP21	TIMM17B
DUSP21	RAD51
DUSP21	PYGB
DDX20	NUP85
DDX20	MFAP1
DDX20	AHCY
DDX20	NUP155
DDX20	JUN
CA4	SLCO2B1
GAK	AHCY
GAK	SYT11
GAK	AMPH
GAK	AP2A1
GAK	REPS2
SP3	TMOD4
SP3	ACADSB
CCL4	SLCO2B1
CCL4	FPR3
CCL4	GNAI2
CCL4	SIRT1
ANLN	MYO18A
ANLN	AP2A1
ANLN	HIST1H2BE
BLK	FAM217B
BLK	TPTE2
BLK	GNAI2
BLK	PIK3R1
BLK	EPHA6
MAP3K2	RAB3IP
MAP3K2	NEDD4
MAP3K2	ELF5
MAP3K2	JUN
FATE1	CALN1
FATE1	MFF
FATE1	VSIG4
MFAP1	JUN
MFAP1	TRIM41
MFAP1	HMBOX1
ELF5	FOXA1
MAL	CALN1
MAL	PIK3R1
TRIM41	TRIM52
HMBOX1	HNF1B
HMBOX1	FAM217B
GNAI2	AHCY
GNAI2	FPR3
GNAI2	HIST1H2BE
GNAI2	VDAC3
PYGB	TPTE2
PYGB	AGL
EPHA6	TPTE2
RAD51	HIST1H2BE
RAD51	RPA2
MPST	DLD
MPST	LDHD
CALN1	CUX1
FOXA2	RAB3IP
FOXA2	NEDD4
FOXA2	AGL
FOXA2	FOXA1
FOXA2	CUX1
NUP85	PIK3R1
NUP85	CENPM
NUP85	NUP155
SLCO2B1	JUN
GATA4	CUX1
GATA4	SIRT1
GATA4	DLL4
GATA4	FAM217B
FOXA1	JUN
FOXA1	TMOD4
FOXA1	RPA2
FOXA1	HIST1H2BE
FOXA1	REPS2
VDAC3	HIST1H2BE
SIRT1	JUN
SIRT1	PIK3R1
SIRT1	HIST1H2BE
SIRT1	DIO2
SIRT1	AGL
SIRT1	AHCY
REPS2	PI4K2B
REPS2	PIK3R1
REPS2	AMPH
REPS2	AP2A1
REPS2	SYT11
AHCY	JUN
AHCY	HENMT1
AHCY	AP2A1
AHCY	MYO18A
PI4K2B	PIK3R1
PI4K2B	AP2A1
PI4K2B	SYT11
CUX1	DIO2
CUX1	PIK3R1
CUX1	BET1
CUX1	JUN
TIMM17B	PMPCB
TIMM17B	LDHD
SYT11	JUN
SYT11	PIK3R1
SYT11	AMPH
SYT11	AP2A1
JUN	HIST1H2BE
JUN	AKR1B10
JUN	NUP155
JUN	AP2A1
JUN	DIO2
JUN	PMPCB
JUN	NEDD4
JUN	AGL
JUN	YTHDF2
JUN	DLD
DLD	RPA2
DLD	HIST1H2BE
DLD	AKR1B10
DLD	ACADSB
AP2A1	EPHB3
AP2A1	AMPH
AP2A1	PIK3R1
AP2A1	RPA2
AP2A1	MYO18A
HENMT1	PIWIL2
HENMT1	PECR
HIST1H2BE	CENPM
HIST1H2BE	RPA2
AMPH	PIK3R1
RPA2	PMPCB
RPA2	HNF1B
RPA2	PARP9
RPA2	YTHDF2
YTHDF2	AGL
AKR1B10	PARP9
AKR1B10	PECR
AKR1B10	LDHD
NUP155	BET1
NEDD4	TRIM52
MFF	BET1
TPTE2	PIK3R1
TPTE2	EPHB3
PIK3R1	VSIG4
PIK3R1	AGL
PIK3R1	MYO18A
PIK3R1	EPHB3
PMPCB	LDHD
