#tail	head
ATP5F1C	COQ9
ATP5F1C	ATP5F1E
ATP5F1C	VCAM1
ATP5F1C	COX15
ATP5F1C	MT2A
ATP5F1C	SCO1
TXNRD1	MT2A
TXNRD1	OGG1
TXNRD1	ESR1
OGG1	MT2A
OGG1	MAF
ITGB8	ESR1
ITGB8	COL5A1
ITGB8	ACTN1
VHL	SQSTM1
VHL	HNRNPL
VHL	PRDX1
VHL	RPL37A
VHL	KLF4
VHL	PIN1
VHL	TMED10
ACSM6	NMT2
ACSM6	PEX6
ACSM6	DGAT1
ACSM6	ADCY9
ACSM6	ACAA1
ACSM6	NME3
DGAT1	ALPL
DGAT1	PLPP2
DGAT1	PLCG1
DGAT1	ACAA1
COQ9	ACAA1
COQ9	COX15
COQ9	ATP5F1E
COQ9	VSTM1
COQ9	AGK
COQ9	MAVS
ESR1	AHR
ESR1	PMP22
ESR1	NRIP1
ESR1	FOXA1
ESR1	FOXO3
ESR1	MTNR1B
ESR1	PLCG1
ESR1	RPL37A
ESR1	FOS
ESR1	LEP
ESR1	NR3C2
ESR1	G3BP1
ESR1	MT2A
ESR1	TSC2
ESR1	PRDX1
ESR1	ABCC1
ESR1	ACTN1
ESR1	NR2C1
PITX2	NR2C1
PITX2	IL2
PITX2	FOXO3
PITX2	PLPP2
PITX2	FOXA1
PITX2	GOLGB1
PITX2	EYA1
PITX2	ZBTB14
PITX2	PRKACB
PITX2	RTL9
PITX2	ACTR10
VSTM1	PLPP2
VSTM1	AHR
VSTM1	CD53
TSC2	PIN1
TSC2	SERINC3
TSC2	MT2A
USP7	GOLGB1
USP7	WDR1
USP7	SQSTM1
USP7	FOXO3
MAF	AHR
MAF	FOXA1
MAF	ZBTB14
MAF	VCAM1
MAF	ACTN1
MAF	HNRNPL
MAF	FOS
KDELR1	TMED10
KDELR1	GOLGB1
KDELR1	SPTA1
KDELR1	COG5
KDELR1	ACTR10
KDELR1	SERINC3
ALPL	MTAP
SQSTM1	MT2A
SQSTM1	ACTN1
SQSTM1	HNRNPL
SQSTM1	ACAA1
SQSTM1	FOXO3
SQSTM1	G3BP1
SQSTM1	WDR1
EIF4G2	ABCC1
EIF4G2	HSF1
EIF4G2	VCAM1
EIF4G2	G3BP1
MT2A	SCO1
MT2A	KHDRBS3
MT2A	PRDX1
MT2A	ABCC1
MT2A	HSF1
MT2A	HNRNPL
MT2A	FOS
MT2A	IL2
MT2A	LEP
MT2A	AHR
COG5	TMED10
COG5	SPTA1
COG5	GOLGB1
ACTR10	NR3C2
ACTR10	TMED10
ACTR10	SPTA1
NNAT	FOXO3
NNAT	HSF1
HSF1	IL2
HSF1	FOS
HSF1	RTL9
HSF1	MAPK8
HSF1	LEP
NRIP1	HNRNPL
NRIP1	NR2C1
NRIP1	LEP
NRIP1	AHR
NRIP1	NR3C2
NRIP1	FOXA1
G3BP1	PIN1
G3BP1	VCAM1
G3BP1	PRDX1
G3BP1	KHDRBS3
MTNR1B	ACTN1
MTNR1B	MON2
MTNR1B	PEAK1
MTNR1B	NR3C2
RPL37A	RPL38
MTAP	EYA1
MTAP	ABCC1
MTAP	PEX6
MTAP	PLPP2
SCO1	FOXA1
SCO1	MAVS
SCO1	NDUFA7
SCO1	HNRNPL
SCO1	COX15
SCO1	PRDX1
NR3C2	IL2
NR3C2	LEP
FOXO3	KLF4
FOXO3	MAPK8
FOXO3	RTL9
FOXO3	SERINC3
FOXO3	HNRNPL
FOXO3	AHR
IL2	MAPK8
IL2	ABCC1
IL2	LEP
IL2	FOS
IL2	AHR
IL2	PRDX1
PLCG1	HNRNPL
PLCG1	AGK
PLCG1	RPL38
TMED10	GOLGB1
TMED10	SPTA1
TMED10	FOXA1
TMED10	COX15
AHR	COL5A1
AHR	KLF4
AHR	FOXA1
AHR	LEP
AHR	HNRNPL
LAMP3	MAPK8
LAMP3	HARS2
PLPP2	AGK
VCAM1	HNRNPL
VCAM1	RPL38
VCAM1	MAVS
VCAM1	PRDX1
VCAM1	KLF4
VCAM1	PIN1
ADCY9	PRKACB
ADCY9	NME3
OPRM1	PMP22
OPRM1	MON2
WDR1	ZBTB14
LEP	FOS
LEP	PRDX1
ALX4	ZBTB14
ALX4	FOXA1
ALX4	HNRNPL
ZBTB14	PIN1
HNRNPL	PRKACB
HNRNPL	COL5A1
HNRNPL	GOLGB1
HNRNPL	ABCC1
RPL38	NDUFA7
OR1D4	PMP22
OR1D4	CD53
FOS	FOXA1
FOS	MAPK8
FOS	ABCC1
FOS	PIN1
CD53	PMP22
KLF4	ABCC1
COX15	ACTN1
GOLGB1	SPTA1
GOLGB1	FOXA1
COL5A1	ACTN1
PIN1	NDUFA7
NMT2	ACAA1
ABCC1	HARS2
PRKACB	MAVS
NDUFA7	ACAA1
HARS2	NME3
ACAA1	NME3
EYA1	FOXA1
EYA1	PEAK1
FOXA1	RTL9
