#tail	head
CNMD	KRT9
KMT2B	H2AFV
KMT2B	KMT2C
KMT2B	HIST1H3A
KMT2B	ANXA7
KMT2B	GDF9
KMT2B	HIST1H2BF
KMT2B	CDKN1A
KMT2B	TP53BP1
UBE2O	FBXL12
UBE2O	RPL29
UBE2O	MAPK6
UBE2O	HIST1H2BF
UBE2O	MYOD1
SGCB	MGST2
SGCB	HTR2C
SGCB	PPARA
GDPD5	NF1
GDPD5	ADCY6
GDPD5	GPR89A
MGST2	GGT1
MGST2	GGT5
ELF4	NF1
ELF4	MAPK6
ELF4	TCF3
ELF4	MYOD1
SYNGR1	SPG21
SYNGR1	MYOD1
SYNGR1	TCF3
SYNGR1	NFE2
SYNGR1	NR1H4
SYNGR1	NF1
FAM20A	SDC2
FAM20A	VWA1
EZH2	THRAP3
EZH2	GDF9
EZH2	HIST1H2BF
EZH2	CREBBP
EZH2	RUNX2
EZH2	TCF3
EZH2	MYOD1
EZH2	HIST1H3A
EZH2	H2AFV
EZH2	CDKN1A
EZH2	SSR1
EZH2	PHGDH
EZH2	KMT2C
ZBTB42	SPG21
ZBTB42	NCK2
SSR1	NFKB1
SSR1	RPL29
SSR1	SNW1
SSR1	GEMIN4
SSR1	GPC1
SSR1	ANXA7
SSR1	CHORDC1
SSR1	HNRNPA1
SSR1	ABCC2
SSR1	PHGDH
SNW1	PHGDH
SNW1	HIST1H3A
SNW1	GEMIN4
SNW1	GPC1
SNW1	MYOD1
SNW1	ANXA7
SNW1	MT2A
SNW1	TFIP11
SNW1	ABCB1
SNW1	CREBBP
SNW1	MAPK6
SNW1	THRAP3
SNW1	CHORDC1
SNW1	HNRNPA1
PHGDH	THRAP3
PHGDH	MAPK6
PHGDH	GEMIN4
PHGDH	GPC1
PHGDH	ANXA7
PHGDH	CHORDC1
PHGDH	HNRNPA1
PHGDH	PPARA
NFKB1	IRS4
NFKB1	ABCB1
NFKB1	ABCC2
NFKB1	TP53BP1
NFKB1	CREBBP
NFKB1	GDF9
NFKB1	HIST1H2BF
NFKB1	PDGFRB
ADCY6	MYOD1
ADCY6	GNGT2
ADCY6	NEUROG3
ADCY6	NUDT10
RRP7A	TFIP11
RRP7A	MAPK6
RRP7A	ATP4A
RRP7A	PPARA
GPR89A	P2RY1
GPR89A	HTR2C
GPR89A	P2RY12
RPL29	HNRNPA1
RPL29	HIST1H3A
HES6	TCF3
HES6	MYOD1
HES6	CREBBP
HES6	NEUROG3
H2AFV	CREBBP
H2AFV	HIST1H3A
H2AFV	DLD
H2AFV	KMT2C
H2AFV	HIST1H2BF
GGT5	NEFL
GGT5	LAP3
GGT5	PPARA
IDS	NFE2
IDS	XYLT2
HNRNPA1	KRT9
HNRNPA1	SREK1
HNRNPA1	TFIP11
HNRNPA1	HIST1H3A
HNRNPA1	TP53BP1
HNRNPA1	HIST1H2BF
GDF9	ANXA7
GDF9	CRELD1
GDF9	KMT2C
GDF9	THRAP3
GDF9	CREBBP
GDF9	VWA1
GDF9	ATP4A
GDF9	CDKN1A
GDF9	PPARA
NUDT10	NF1
NUDT10	NFE2
GEMIN4	TP53BP1
GEMIN4	P2RY12
GEMIN4	WRAP73
GEMIN4	FBXL12
GEMIN4	SPG21
KRT9	MT2A
KRT9	ABCB1
KRT9	THRAP3
NFE2	ABCB6
NFE2	ANXA7
NFE2	TCF3
NFE2	SERPINB5
NFE2	CDKN1A
NFE2	GAST
NFE2	CREBBP
SERPINB5	TCF3
SERPINB5	CDK15
SERPINB5	NF1
SDC2	XYLT2
SDC2	NF1
SDC2	GPC1
PDGFRB	NCK2
PDGFRB	GNGT2
NR1H4	PPARA
NR1H4	TCF3
NR1H4	NEFL
NR1H4	HIST1H3A
NR1H4	CDK15
NR1H4	ABCB1
CDX1	SREK1
CDX1	PPARA
CDX1	TCF3
IRS4	CDKN1A
IRS4	TCF3
IRS4	NF1
IRS4	DLD
IRS4	MAPK6
ATP4A	ANXA7
DLD	THRAP3
DLD	CHORDC1
DLD	ANXA7
DLD	HIST1H2BF
DLD	ABCC2
DLD	LAP3
RUNX2	ABCC2
RUNX2	CDKN1A
RUNX2	CREBBP
TFIP11	CDKN1A
TFIP11	TCF3
TFIP11	SPG21
SREK1	THRAP3
FBXL12	CDKN1A
NEFL	GGT1
HIST1H3A	TP53BP1
HIST1H3A	CREBBP
HIST1H3A	KMT2C
HIST1H3A	THRAP3
HIST1H3A	MYOD1
HIST1H3A	HIST1H2BF
HIST1H3A	CRTC2
P2RY12	GNGT2
P2RY12	CRELD1
P2RY12	ABCB1
ABCB6	NF1
ABCB6	ABCB1
CRTC2	NF1
CRTC2	CDKN1A
CRTC2	CREBBP
HTR2C	TCF3
HTR2C	CRELD1
HTR2C	MYOD1
HTR2C	NF1
HTR2C	GNGT2
TCF3	PPARA
TCF3	NEUROG3
TCF3	MYOD1
TCF3	TP53BP1
TCF3	VWA1
TCF3	CREBBP
TCF3	NCK2
TCF3	CRELD1
ANXA7	TP53BP1
CRELD1	ABCB1
CRELD1	MYOD1
CRELD1	MT2A
TP53BP1	CDKN1A
TP53BP1	CREBBP
TP53BP1	HIST1H2BF
TP53BP1	KMT2C
GGT1	ABCC2
GGT1	LAP3
SPG21	MYOD1
CDKN1A	ABCB1
CDKN1A	ABCC2
CDKN1A	MT2A
CDKN1A	CREBBP
MT2A	GPC1
MT2A	WRAP73
CREBBP	PPARA
CREBBP	KMT2C
CREBBP	HIST1H2BF
CREBBP	THRAP3
CREBBP	MYOD1
CREBBP	ABCB1
CREBBP	ABCC2
P2RY1	GAST
P2RY1	GNGT2
MYOD1	PPARA
GPC1	XYLT2
GNGT2	NF1
GNGT2	GAST
XYLT2	UGT1A7
PPARA	ABCB1
PPARA	ABCC2
PPARA	HIST1H2BF
KMT2C	HIST1H2BF
NF1	VWA1
UGT1A7	ABCC2
ABCB1	ABCC2
ABCB1	WRAP73
