#tail	head
TTLL9	GMPS
TTLL9	FTCD
FTCD	RHBG
FTCD	SLC24A2
FTCD	GMPS
ITIH2	PSEN1
ITIH2	SLC8A1
ITIH2	FLOT1
ITIH2	HSPA1A
ITIH2	NF1
ITIH2	FCGR1A
ITIH2	HRH1
SLC29A1	FLOT1
SLC29A1	RRM1
SLC29A1	ADORA1
E4F1	NEURL1
E4F1	YWHAG
E4F1	NF1
E4F1	POLR2A
E4F1	HIST1H4A
E4F1	LNX1
E4F1	LCMT2
SLC6A8	SLC38A5
SLC6A8	RRM1
SLC6A8	SLC24A2
SLC6A8	SLC8A1
GDF7	ADORA1
GDF7	FZD3
GDF7	FZD10
GDF7	NODAL
GARS	LCMT2
GARS	GMPS
GARS	SLC38A5
GARS	PPCS
GARS	HIST1H4A
INS	PLEKHG4
INS	CCDC120
INS	FZD3
INS	PSEN1
INS	YWHAG
INS	FZD10
INS	WASF2
INS	HSPA1A
INS	PPY
INS	TBC1D22B
INS	AIP
INS	CIDEC
INS	PIK3C2B
INS	SLC38A5
INS	ADORA1
INS	CDV3
INS	SST
INS	CES1
PLEKHG4	CCDC120
PLEKHG4	ZNF833P
PLEKHG4	TBC1D22B
PLEKHG4	EFNB2
PRKCG	GRIA4
PRKCG	CD3G
PRKCG	CD79B
PRKCG	IGHV2-70
PRKCG	LYN
PRKCG	GNB3
PRKCG	IGKV1D-12
PRKCG	HRH1
PRKCG	TFAP4
PRKCG	YWHAG
PRKCG	NF1
PRKCG	PIK3C2B
PRKCG	PIK3C2A
PRKCG	IGLC3
CEP76	YWHAG
CEP76	LNX1
CEP76	RADIL
CEP76	CEP152
CEP76	HSPA1A
NODAL	ADORA1
NODAL	FZD3
NODAL	FZD10
PPCS	SLC38A5
PPCS	GMPS
TBC1D22B	CCDC57
TBC1D22B	HOMER3
NPY1R	SST
NPY1R	GNB3
NPY1R	PPY
AIP	CCDC120
AIP	TNNI3K
SLC24A2	SLC38A5
SLC24A2	RHBG
SLC24A2	RRM1
SLC24A2	CD3G
SLC24A2	GRIA4
HRH1	GNB3
TNNI3K	CDC14C
EFNB2	PSEN1
EFNB2	NF1
EFNB2	CLTB
EFNB2	RADIL
EFNB2	PIK3C2B
EFNB2	PIK3C2A
EFNB2	PIK3R3
CIDEC	CIDEA
CIDEC	TFAP4
PPY	FZD3
PPY	ADORA1
PPY	GNB3
PPY	FZD10
LYN	CD79B
LYN	PIK3R3
LYN	IGHV2-70
LYN	ITPKB
LYN	FGF20
LYN	GNB3
LYN	IGKV1D-12
LYN	FCGR1A
LYN	CD3G
LYN	TRAT1
LYN	FGF22
LYN	WASF2
LYN	IGLC3
LYN	CDC14C
CDV3	MRPL14
ADORA1	GNB3
ADORA1	FGF22
ADORA1	NF1
ADORA1	FGF20
ADORA1	JAG2
ADORA1	SST
HIST1H4A	CES1
HIST1H4A	POLR2A
HIST1H4A	HOXB2
HIST1H4A	FLOT1
GNB3	PIK3R3
GNB3	FGF20
GNB3	SST
GNB3	FCGR1A
GNB3	FZD10
GNB3	ITPKB
GNB3	IGHV2-70
GNB3	TFAP4
GNB3	FGF22
GNB3	TRAT1
GNB3	IGKV1D-12
GNB3	WASF2
GNB3	FZD3
GNB3	CD3G
GNB3	IGLC3
GNB3	CD79B
CD79B	FGF22
CD79B	FCGR1A
CD79B	NF1
CD79B	IGHV2-70
CD79B	TFAP4
CD79B	TRAT1
CD79B	ITPKB
CD79B	IGKV1D-12
CD79B	FGF20
CD79B	IGLC3
CD79B	CD3G
CD79B	PIK3R3
KPRP	CCDC57
KPRP	LNX1
KPRP	CES1
KPRP	CIDEA
KPRP	TNS2
POLR2A	HSPA1A
POLR2A	NF1
POLR2A	HOXB2
GMPS	SLC38A5
HOMER3	CCDC120
HOMER3	LNX1
HOMER3	WASF2
RRM1	CEP152
RRM1	SLC38A5
RRM1	YWHAG
ITPKB	IGLC3
ITPKB	IGHV2-70
ITPKB	IGKV1D-12
MT3	PSEN1
MT3	HSPA1A
FCGR1A	CD3G
FCGR1A	IGKV1D-12
FCGR1A	WASF2
FCGR1A	IGLC3
FCGR1A	PIK3R3
FCGR1A	FGF22
FCGR1A	FGF20
FCGR1A	IGHV2-70
FCGR1A	TRAT1
FZD3	FGF20
FZD3	JAG2
FZD3	FGF22
FZD3	SST
CIDEA	CES1
SST	FZD10
YWHAG	FLOT1
YWHAG	CEP152
YWHAG	HSPA1A
YWHAG	TNS2
DMD	NF1
DMD	TFAP4
DMD	GRIA4
DMD	TNS2
TRAT1	FGF22
TRAT1	IGLC3
TRAT1	CD3G
TRAT1	WASF2
TRAT1	IGHV2-70
TRAT1	FGF20
TRAT1	IGKV1D-12
NEURL1	TFAP4
NEURL1	JAG2
CCDC57	CCDC120
IGKV1D-12	FGF22
IGKV1D-12	CD3G
IGKV1D-12	PIK3R3
IGKV1D-12	IGHV2-70
IGKV1D-12	FGF20
IGKV1D-12	WASF2
PSEN1	JAG2
PSEN1	HSPA1A
FGF20	CD3G
FGF20	FGF22
FGF20	PIK3R3
FGF20	IGHV2-70
FGF20	FZD10
FGF20	WASF2
FGF20	IGLC3
IGHV2-70	CD3G
IGHV2-70	PIK3R3
IGHV2-70	WASF2
IGHV2-70	IGLC3
IGHV2-70	FGF22
IGLC3	PIK3R3
IGLC3	FGF22
IGLC3	WASF2
IGLC3	CD3G
PIK3C2A	CLTB
PIK3C2A	PIK3C2B
PIK3C2A	WASF2
PIK3C2A	CD3G
PIK3C2A	NF1
PIK3C2A	PIK3R3
SLC8A1	GRIA4
SLC8A1	SLC38A5
FGF22	CD3G
FGF22	WASF2
FGF22	FZD10
FGF22	PIK3R3
WASF2	PIK3R3
WASF2	CD3G
FZD10	JAG2
FLOT1	LNX1
FLOT1	HSPA1A
TFAP4	LNX1
PIK3R3	CLTB
PIK3R3	PIK3C2B
